Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
107,Kris Benson\bensokr01,29,PIT,NL,20,50,39,2,7,0,0,0,3,0,0,1,17,.179,.200,.179,.379,0,7,0,0,10,0,0,1
108,Kris Benson\bensokr01,29,NYM,NL,11,25,19,1,1,0,0,0,2,0,0,1,9,.053,.100,.053,.153,-58,1,0,0,5,0,0,1
109,Chad Bentz\bentzch01,24,MON,NL,36,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,157,1,0,0,0,0,0,1
110,Dave Berg\bergda01,33,TOR,AL,58,162,154,13,39,4,0,3,23,0,1,4,27,.253,.278,.338,.615,57,52,4,2,0,2,0,7/3D459
111,Brandon Berger\bergebr01,29,KCR,AL,11,36,35,5,7,2,0,0,2,1,1,0,7,.200,.200,.257,.457,18,9,1,0,1,0,0,7/9
112,Peter Bergeron*\bergepe01,26,MON,NL,11,45,42,2,9,0,0,0,1,0,1,2,16,.214,.250,.214,.464,20,9,0,0,1,0,0,8
113,Dusty Bergman*\bergmdu01,26,ANA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
114,Lance Berkman#\berkmla01,28,HOU,NL,160,687,544,104,172,40,3,30,106,9,7,127,101,.316,.450,.566,1.016,160,308,10,10,0,6,14,*97/38
115,Adam Bernero\bernead01,27,COL,NL,16,6,5,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
116,Angel Berroa\berroan01,26,KCR,AL,134,554,512,72,134,27,6,8,43,14,8,23,87,.262,.308,.385,.693,79,197,10,12,5,2,0,*6
117,Rafael Betancourt\betanra01,29,CLE,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
118,Wilson Betemit#\betemwi01,22,ATL,NL,22,52,47,2,8,0,0,0,3,0,1,4,16,.170,.231,.170,.401,6,8,0,0,0,1,0,6/5
119,Rocky Biddle\biddlro01,28,MON,NL,47,14,11,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,3,0,0,1
120,Nick Bierbrodt*\bierbni01,26,TEX,AL,4,3,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1
121,Larry Bigbie*\bigbila01,26,BAL,AL,139,531,478,76,134,23,1,15,68,8,3,45,113,.280,.341,.427,.768,101,204,7,1,3,4,0,*78/D
122,Craig Biggio\biggicr01,38,HOU,NL,156,700,633,100,178,47,0,24,63,7,2,40,94,.281,.337,.469,.806,105,297,8,15,9,3,0,*78/D
123,Travis Blackley*\blacktr01,21,SEA,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
124,Casey Blake\blakeca01,30,CLE,AL,152,668,587,93,159,36,3,28,88,5,8,68,139,.271,.354,.486,.839,122,285,19,9,1,3,2,*5/3
125,Hank Blalock*\blaloha01,23,TEX,AL,159,713,624,107,172,38,3,32,110,2,2,75,149,.276,.355,.500,.855,113,312,13,6,0,8,7,*5
126,Andres Blanco#\blancan01,20,KCR,AL,19,67,60,9,19,2,2,0,5,1,2,5,6,.317,.379,.417,.795,107,25,0,1,1,0,0,6
127,Henry Blanco\blanche01,32,MIN,AL,114,353,315,36,65,19,1,10,37,0,3,21,56,.206,.260,.368,.628,60,116,8,3,11,3,0,*2
128,Joe Blanton\blantjo01,23,OAK,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
129,Willie Bloomquist\bloomwi01,26,SEA,AL,93,201,188,27,46,10,0,2,18,13,2,10,48,.245,.283,.330,.613,62,62,2,0,3,0,0,563/7D48
130,Geoff Blum#\blumge01,31,TBD,AL,112,369,339,38,73,21,0,8,35,2,3,24,58,.215,.266,.348,.614,61,118,4,0,4,2,1,54/73D6
131,Hiram Bocachica\bocachi01,28,SEA,AL,50,107,90,9,22,5,0,3,6,5,4,12,27,.244,.337,.400,.737,94,36,1,1,3,1,0,89/D7
132,Brian Boehringer#\boehrbr01,35,PIT,NL,21,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
133,Jeremy Bonderman\bondeje01,21,DET,AL,33,7,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
134,Barry Bonds*\bondsba01,39,SFG,NL,147,617,373,129,135,27,3,45,101,6,1,232,41,.362,.609,.812,1.422,263,303,5,9,0,3,120,*7/D
135,Jung Bong*\bongju01,23,CIN,NL,3,4,4,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
136,Bret Boone\boonebr01,35,SEA,AL,148,658,593,74,149,30,0,24,83,10,5,56,135,.251,.317,.423,.740,94,251,18,3,2,4,2,*4
137,Joe Borchard#\borchjo01,25,CHW,AL,63,222,201,26,35,4,1,9,20,1,0,19,57,.174,.249,.338,.587,50,68,4,1,1,0,1,9/D8
138,Pat Borders\bordepa01,41,TOT,AL,38,99,95,9,22,6,0,1,10,3,1,1,22,.232,.247,.326,.574,49,31,2,1,2,0,0,2
139,Pat Borders\bordepa01,41,SEA,AL,19,55,53,6,10,2,0,1,5,1,1,1,12,.189,.204,.283,.487,27,15,2,0,1,0,0,2
140,Pat Borders\bordepa01,41,MIN,AL,19,44,42,3,12,4,0,0,5,2,0,0,10,.286,.302,.381,.683,76,16,0,1,1,0,0,2
141,Dave Borkowski\borkoda01,27,BAL,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
142,Toby Borland\borlato02,35,FLA,NL,18,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
143,Joe Borowski\borowjo01,33,CHC,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
144,Ricky Bottalico*\bottari01,34,NYM,NL,60,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
145,Rob Bowen#\bowenro01,23,MIN,AL,17,32,27,1,3,0,0,1,2,0,0,4,10,.111,.226,.222,.448,17,6,1,0,1,0,0,2/D
146,Jason Boyd\boydja02,31,PIT,NL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
147,Chad Bradford\bradfch01,29,OAK,AL,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
148,Milton Bradley#\bradlmi01,26,LAD,NL,141,597,516,72,138,24,0,19,67,15,11,71,123,.267,.362,.424,.786,108,219,12,6,3,1,3,*897
149,Darren Bragg*\braggda01,34,TOT,NL,47,112,101,13,19,3,1,4,9,1,0,10,31,.188,.261,.356,.618,61,36,2,0,1,0,1,89/7
150,Darren Bragg*\braggda01,34,SDP,NL,9,9,7,2,1,0,0,0,0,0,0,2,2,.143,.333,.143,.476,36,1,0,0,0,0,0,
151,Darren Bragg*\braggda01,34,CIN,NL,38,103,94,11,18,3,1,4,9,1,0,8,29,.191,.255,.372,.627,62,35,2,0,1,0,1,89/7
152,Russell Branyan*\branyru01,28,MIL,NL,51,182,158,21,37,11,1,11,27,1,0,20,68,.234,.324,.525,.849,115,83,1,2,0,2,0,5/3
153,Craig Brazell*\brazecr01,24,NYM,NL,24,35,34,3,9,2,0,1,3,0,0,1,7,.265,.286,.412,.697,79,14,1,0,0,0,0,/3
154,Dewon Brazelton\brazede01,24,TBD,AL,22,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
155,Yhency Brazoban\brazoyh01,24,LAD,NL,31,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
156,Juan Brito\britoju01,24,ARI,NL,54,184,171,17,35,7,0,3,12,1,0,9,41,.205,.246,.298,.544,37,51,6,1,1,2,1,2
157,Doug Brocail*\brocado01,37,TEX,AL,43,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
158,Frank Brooks*\brookfr01,25,PIT,NL,11,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
159,Ben Broussard*\brousbe01,27,CLE,AL,139,485,418,57,115,28,5,17,82,4,2,52,95,.275,.370,.488,.858,127,204,7,12,1,2,3,*3
160,Jim Brower\broweji01,31,SFG,NL,89,3,2,1,1,0,0,0,0,0,0,1,1,.500,.667,.500,1.167,208,1,0,0,0,0,0,1
161,Adrian Brown#\brownad01,30,KCR,AL,5,11,11,0,3,0,0,0,0,0,0,0,2,.273,.273,.273,.545,43,3,0,0,0,0,0,/79
162,Dee Brown*\brownde02,26,KCR,AL,59,209,195,19,49,7,0,4,24,2,2,11,50,.251,.293,.349,.642,66,68,1,1,1,1,0,7/D
163,Jamie Brown\brownja04,27,BOS,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
164,Kevin Brown\brownke01,39,NYY,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
165,Brian Bruney\brunebr01,22,ARI,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
166,Eric Bruntlett\brunter01,26,HOU,NL,45,61,52,14,13,2,0,4,8,4,0,7,13,.250,.328,.519,.847,114,27,0,0,0,2,0,6/487
167,Brian Buchanan\buchabr01,30,TOT,NL,40,72,63,7,12,2,0,2,6,0,0,7,20,.190,.278,.317,.595,61,20,2,1,0,1,2,7/39
168,Brian Buchanan\buchabr01,30,SDP,NL,38,68,60,7,12,2,0,2,6,0,0,6,19,.200,.279,.333,.613,65,20,2,1,0,1,2,7/39
169,Brian Buchanan\buchabr01,30,NYM,NL,2,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,-26,0,0,0,0,0,0,/3
170,John Buck\buckjo01,23,KCR,AL,71,258,238,36,56,9,0,12,30,1,1,15,79,.235,.280,.424,.704,80,101,6,0,4,1,0,2/D
171,Mark Buehrle*\buehrma01,25,CHW,AL,35,5,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,2,0,0,1
172,Ryan Bukvich\bukviry01,26,KCR,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
173,Kirk Bullinger\bulliki01,34,HOU,NL,27,4,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,-27,0,0,0,0,0,0,1
174,Nate Bump*\bumpna01,27,FLA,NL,50,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
175,Dave Burba\burbada01,37,TOT,NL,51,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
176,Dave Burba\burbada01,37,MIL,NL,45,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
