Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
23,Alfredo Amezaga#\amezaal01,24,ANA,14,51,3.64,34,66.7%,29.4%,11.8%,23.5%,35.3%,70.6%,0.0%,47.1%,83.3%,28.6%,0.0%,0,0,14.3%,2,2,0.0%,0,0,0,1,0.0%,0,0,0
24,Brady Anderson*\anderbr01,38,CLE,101,417,4.13,234,57.2%,28.6%,13.7%,32.9%,24.8%,71.4%,4.4%,40.8%,80.8%,25.7%,9.9%,10,0,18.8%,19,5,13.9%,14,6,7,16,30.4%,0,0,0
25,Brian Anderson#\anderbr02,30,ARI,49,130,2.65,104,80.0%,12.5%,16.3%,33.7%,37.5%,87.5%,0.0%,70.0%,81.3%,63.3%,0.0%,0,0,2.0%,1,1,0.0%,0,0,2,6,22.2%,0,0,0
26,Garret Anderson*\anderga01,30,ANA,679,2120,3.12,1400,67.4%,21.1%,13.6%,24.7%,40.6%,78.9%,6.1%,53.2%,82.8%,34.9%,4.4%,30,4,13.8%,94,50,4.3%,29,19,12,68,15.0%,0,0,0
27,Jimmy Anderson*\anderji02,26,PIT,47,175,3.72,119,68.0%,26.1%,15.1%,31.1%,27.7%,73.9%,0.0%,50.3%,79.5%,34.0%,2.1%,1,0,8.5%,4,3,4.3%,2,0,3,9,25.0%,0,0,0
28,Marlon Anderson*\anderma02,28,PHI,593,2063,3.48,1333,66.1%,24.4%,12.5%,27.6%,35.6%,75.6%,6.3%,50.0%,83.5%,33.2%,4.4%,26,1,11.0%,65,22,6.6%,39,25,25,46,35.2%,0,0,0
29,Shane Andrews\andresh01,30,BOS,15,67,4.47,36,53.7%,36.1%,22.2%,13.9%,27.8%,63.9%,0.0%,34.3%,65.2%,20.0%,0.0%,0,0,26.7%,4,3,13.3%,2,1,2,1,66.7%,0,0,0
30,Kevin Appier\appieke01,34,ANA,4,13,3.25,10,76.9%,20.0%,20.0%,40.0%,20.0%,80.0%,0.0%,61.5%,75.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,1,50.0%,0,0,0
31,Alex Arias\ariasal01,34,NYY,8,27,3.38,20,74.1%,25.0%,20.0%,30.0%,25.0%,75.0%,0.0%,55.6%,73.3%,37.5%,12.5%,1,0,12.5%,1,0,12.5%,1,1,0,2,0.0%,0,0,0
32,Tony Armas\armasto02,24,MON,56,176,3.14,135,76.7%,23.7%,17.8%,29.6%,28.9%,76.3%,0.0%,58.5%,76.7%,37.5%,0.0%,0,0,5.4%,3,1,0.0%,0,0,4,11,25.0%,0,0,0
33,Rolando Arrojo\arrojro01,36,BOS,3,11,3.67,9,81.8%,11.1%,44.4%,33.3%,11.1%,88.9%,0.0%,72.7%,50.0%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
34,Bronson Arroyo\arroybr01,25,PIT,6,17,2.83,13,76.5%,15.4%,7.7%,38.5%,38.5%,84.6%,0.0%,64.7%,90.9%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
35,Miguel Asencio\asencmi01,21,KCR,2,4,2.00,4,100.0%,0.0%,50.0%,25.0%,25.0%,100.0%,,100.0%,50.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
36,Andy Ashby\ashbyan01,34,LAD,56,206,3.68,156,75.7%,33.3%,21.2%,25.6%,19.9%,66.7%,0.0%,50.5%,68.3%,25.0%,3.6%,2,0,8.9%,5,0,1.8%,1,1,8,13,34.8%,0,0,0
37,Pedro Astacio\astacpe01,33,NYM,69,212,3.07,174,82.1%,14.4%,36.2%,28.2%,21.3%,85.6%,0.0%,70.3%,57.7%,60.9%,0.0%,0,0,2.9%,2,0,1.4%,1,0,5,25,16.1%,0,0,0
38,Rich Aurilia\aurilri01,30,SFG,589,2097,3.56,1324,63.1%,27.0%,12.5%,25.9%,34.6%,73.0%,0.0%,46.1%,82.8%,29.2%,3.7%,22,1,12.7%,75,36,6.5%,38,20,31,59,34.4%,0,0,0
39,Brad Ausmus\ausmubr01,33,HOU,498,1772,3.56,1120,63.6%,30.1%,10.2%,25.7%,34.0%,69.9%,1.5%,44.4%,85.4%,32.5%,4.2%,21,0,15.5%,77,33,8.0%,40,24,31,40,43.7%,0,0,0
40,Bruce Aven\avenbr01,30,CLE,21,81,3.86,49,60.5%,22.4%,22.4%,28.6%,26.5%,77.6%,0.0%,46.9%,71.1%,33.3%,9.5%,2,0,9.5%,2,0,4.8%,1,0,0,4,0.0%,0,0,0
41,Manny Aybar\aybarma01,30,SFG,1,2,2.00,1,50.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
42,Mike Bacsik*\bacsimi02,24,NYM,21,66,3.14,43,66.2%,41.9%,9.3%,7.0%,41.9%,58.1%,4.3%,38.5%,84.0%,38.1%,4.8%,1,0,19.0%,4,0,14.3%,3,0,2,1,66.7%,0,0,0
43,Carlos Baerga#\baergca01,33,BOS,194,619,3.19,401,65.2%,25.4%,11.2%,22.2%,41.1%,74.6%,1.8%,48.6%,84.9%,20.1%,3.1%,6,0,14.4%,28,16,4.1%,8,4,5,15,25.0%,0,0,0
44,Danys Baez\baezda01,24,CLE,2,15,7.50,10,66.7%,40.0%,0.0%,40.0%,20.0%,60.0%,0.0%,40.0%,100.0%,0.0%,50.0%,1,0,50.0%,1,0,50.0%,1,0,0,0,,0,0,0
45,Jeff Bagwell\bagweje01,34,HOU,693,2770,4.00,1567,57.1%,24.4%,18.8%,28.1%,28.7%,75.6%,2.2%,43.2%,75.2%,32.2%,7.1%,49,5,18.8%,130,58,11.5%,80,46,27,103,20.8%,0,0,0
46,Paul Bako*\bakopa01,30,MIL,258,951,3.69,592,63.0%,23.5%,18.6%,25.7%,32.3%,76.5%,3.3%,48.2%,75.7%,38.8%,4.3%,11,0,12.0%,31,10,6.6%,17,11,9,37,19.6%,0,0,0
47,James Baldwin\baldwja01,30,SEA,2,5,2.50,4,80.0%,0.0%,25.0%,25.0%,50.0%,100.0%,0.0%,80.0%,75.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
48,Brian Banks#\banksbr01,31,FLA,29,88,3.03,62,70.5%,16.1%,21.0%,27.4%,35.5%,83.9%,0.0%,59.1%,75.0%,51.7%,0.0%,0,0,0.0%,0,0,3.4%,1,1,4,2,66.7%,0,0,0
49,Rod Barajas\barajro01,26,ARI,173,601,3.47,390,66.7%,19.0%,17.2%,29.5%,34.4%,81.0%,7.6%,54.0%,78.8%,37.0%,3.5%,6,0,17.9%,31,21,4.6%,8,5,3,22,12.0%,0,0,0
50,Josh Bard#\bardjo01,24,CLE,95,305,3.21,200,65.6%,21.5%,16.0%,23.5%,39.0%,78.5%,0.0%,51.5%,79.6%,47.4%,2.1%,2,0,12.6%,12,8,6.3%,6,4,5,8,38.5%,0,0,0
51,Kevin Barker*\barkeke01,26,SDP,20,57,2.85,42,73.7%,33.3%,16.7%,19.0%,31.0%,66.7%,0.0%,49.1%,75.0%,35.0%,0.0%,0,0,5.0%,1,1,5.0%,1,0,1,5,16.7%,0,0,0
52,Michael Barrett\barremi01,25,MON,428,1680,3.93,1048,63.1%,26.6%,12.8%,29.9%,30.7%,73.4%,2.8%,46.3%,82.6%,31.5%,4.9%,21,1,16.1%,69,28,8.6%,37,16,19,46,29.2%,0,0,0
53,Miguel Batista\batismi01,31,ARI,56,215,3.84,146,67.9%,29.5%,29.5%,24.0%,17.1%,70.5%,0.0%,47.9%,58.3%,48.2%,3.6%,2,0,10.7%,6,1,8.9%,5,0,10,16,35.7%,0,0,0
54,Tony Batista\batisto01,28,BAL,683,2754,4.03,1672,61.4%,27.0%,13.8%,28.5%,30.7%,73.0%,2.9%,44.8%,81.1%,16.8%,6.0%,41,19,16.4%,112,55,10.7%,73,56,21,86,19.6%,0,0,0
55,Danny Bautista\bautida01,30,ARI,166,558,3.36,343,62.4%,27.1%,13.1%,20.7%,39.1%,72.9%,3.7%,45.5%,82.0%,25.9%,5.4%,9,0,18.1%,30,16,4.2%,7,4,5,16,23.8%,0,0,0
56,Josh Beckett\beckejo02,22,FLA,36,141,3.92,99,70.2%,47.5%,12.1%,25.3%,15.2%,52.5%,0.0%,36.9%,76.9%,19.4%,0.0%,0,0,2.8%,1,0,2.8%,1,0,10,8,47.6%,0,0,0
57,Joe Beimel*\beimejo01,25,PIT,13,46,3.54,29,63.0%,41.4%,17.2%,10.3%,31.0%,58.6%,0.0%,37.0%,70.6%,15.4%,0.0%,0,0,7.7%,1,0,0.0%,0,0,0,3,0.0%,0,0,0
58,Kevin Beirne*\beirnke01,28,LAD,6,18,3.00,13,72.2%,15.4%,0.0%,38.5%,46.2%,84.6%,0.0%,61.1%,100.0%,50.0%,0.0%,0,0,16.7%,1,0,0.0%,0,0,0,0,,0,0,0
59,David Bell\bellda01,29,SFG,630,2430,3.86,1493,61.5%,27.9%,10.7%,28.9%,32.5%,72.1%,0.4%,44.4%,85.1%,27.9%,4.1%,26,0,14.4%,91,31,9.4%,59,38,21,59,26.3%,0,0,0
60,Jay Bell\bellja01,36,ARI,56,228,4.07,130,57.0%,32.3%,15.4%,20.8%,31.5%,67.7%,0.0%,38.6%,77.3%,16.1%,5.4%,3,0,21.4%,12,5,17.9%,10,4,2,7,22.2%,0,0,0
61,Rob Bell\bellro01,25,TEX,2,9,4.50,5,55.6%,40.0%,20.0%,20.0%,20.0%,60.0%,0.0%,33.3%,66.7%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
62,Mark Bellhorn#\bellhma01,27,CHC,529,2240,4.23,1286,57.7%,32.6%,18.8%,25.0%,23.6%,67.4%,1.3%,38.9%,72.1%,19.7%,5.7%,30,0,15.7%,83,34,11.9%,63,39,45,99,31.3%,0,0,0
63,Ronnie Belliard\belliro01,27,MIL,318,1126,3.54,732,65.0%,26.8%,12.4%,26.4%,34.4%,73.2%,0.0%,47.6%,83.0%,29.9%,5.0%,16,0,14.8%,47,7,7.5%,24,15,13,33,28.3%,0,0,0
64,Clay Bellinger\bellicl01,33,ANA,1,3,3.00,3,100.0%,66.7%,33.3%,0.0%,0.0%,33.3%,,33.3%,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
65,Carlos Beltran#\beltrca01,25,KCR,724,2840,3.92,1720,60.6%,25.3%,14.7%,30.2%,29.8%,74.7%,0.1%,45.2%,80.3%,28.2%,7.2%,52,12,17.3%,125,54,11.5%,83,51,37,98,27.4%,0,0,0
66,Francis Beltran\beltrfr01,22,CHC,1,3,3.00,3,100.0%,33.3%,0.0%,66.7%,0.0%,66.7%,,66.7%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,0.0%,0,0,0
67,Adrian Beltre\beltrad01,23,LAD,637,2393,3.76,1577,66.2%,26.4%,15.3%,26.8%,31.6%,73.6%,1.5%,48.8%,79.2%,22.6%,6.3%,40,2,16.8%,107,45,7.8%,50,30,13,83,13.5%,0,0,0
68,Marvin Benard*\benarma01,31,SFG,131,471,3.60,318,67.5%,21.1%,16.0%,32.4%,30.5%,78.9%,0.0%,53.3%,79.7%,36.6%,2.3%,3,0,6.9%,9,3,8.4%,11,5,1,25,3.8%,0,0,0
69,Alan Benes\benesal01,30,CHC,14,57,4.07,42,73.7%,23.8%,35.7%,28.6%,11.9%,76.2%,0.0%,56.1%,53.1%,50.0%,0.0%,0,0,14.3%,2,1,7.1%,1,1,2,6,25.0%,0,0,0
70,Andy Benes\benesan01,34,STL,37,118,3.19,79,66.9%,19.0%,22.8%,24.1%,34.2%,81.0%,0.0%,54.2%,71.9%,62.2%,0.0%,0,0,5.4%,2,2,5.4%,2,1,1,8,11.1%,0,0,0
71,Mike Benjamin\benjami01,36,PIT,131,465,3.55,308,66.2%,25.0%,21.8%,23.7%,29.5%,75.0%,0.0%,49.7%,71.0%,39.7%,3.8%,5,0,9.9%,13,2,5.3%,7,5,7,24,22.6%,0,0,0
72,Gary Bennett\bennega01,30,COL,315,1054,3.35,698,66.7%,27.1%,10.0%,27.4%,35.5%,72.9%,2.2%,48.7%,86.2%,32.4%,3.5%,11,0,14.3%,45,26,6.3%,20,16,16,29,35.6%,0,0,0
73,Kris Benson\bensokr01,27,PIT,44,142,3.23,105,73.9%,24.8%,21.0%,22.9%,31.4%,75.2%,0.0%,55.6%,72.2%,50.0%,4.5%,2,0,6.8%,3,0,4.5%,2,1,3,8,27.3%,0,0,0
74,Jason Bere\bereja01,31,CHC,31,82,2.65,66,80.5%,18.2%,28.8%,22.7%,30.3%,81.8%,0.0%,65.9%,64.8%,74.2%,0.0%,0,0,6.5%,2,0,0.0%,0,0,2,9,18.2%,0,0,0
75,Dave Berg\bergda01,31,TOR,416,1597,3.84,1004,62.9%,28.8%,10.3%,28.5%,32.5%,71.2%,0.3%,44.8%,85.6%,17.5%,4.8%,20,0,16.3%,68,31,6.7%,28,18,13,44,22.8%,0,0,0
76,Brandon Berger\bergebr01,27,KCR,145,589,4.06,383,65.7%,35.5%,13.8%,23.8%,26.9%,64.5%,2.9%,42.4%,78.5%,13.1%,7.6%,11,1,13.1%,19,0,11.0%,16,9,6,26,18.8%,0,0,0
77,Peter Bergeron*\bergepe01,24,MON,148,599,4.05,364,60.8%,36.3%,15.1%,26.1%,22.5%,63.7%,0.0%,38.7%,76.3%,25.0%,5.4%,8,0,16.9%,25,5,12.8%,19,5,15,29,34.1%,0,0,0
78,Lance Berkman#\berkmla01,26,HOU,692,2729,3.94,1523,57.4%,26.1%,17.5%,26.1%,30.4%,73.9%,6.1%,42.4%,76.4%,30.1%,9.5%,66,8,21.0%,145,46,14.3%,99,48,29,89,24.6%,0,0,0
79,Adam Bernero\bernead01,25,DET,5,17,3.40,13,76.5%,38.5%,23.1%,30.8%,7.7%,61.5%,0.0%,47.1%,62.5%,60.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,2,50.0%,0,0,0
80,Angel Berroa\berroan01,24,KCR,83,276,3.33,180,66.2%,24.4%,17.2%,22.2%,36.1%,75.6%,4.2%,50.0%,77.2%,32.5%,6.0%,5,0,15.7%,13,6,4.8%,4,2,0,10,0.0%,0,0,0
81,Larry Bigbie*\bigbila01,24,BAL,36,135,3.75,88,65.2%,33.0%,18.2%,21.6%,27.3%,67.0%,0.0%,43.7%,72.9%,33.3%,2.8%,1,0,8.3%,3,2,11.1%,4,2,5,6,45.5%,0,0,0
82,Craig Biggio\biggicr01,36,HOU,655,2334,3.56,1523,65.5%,24.5%,17.2%,27.0%,31.3%,75.5%,1.0%,49.4%,77.2%,34.7%,4.6%,30,0,13.7%,90,17,6.7%,44,14,34,77,30.6%,0,0,0
83,Casey Blake\blakeca01,28,MIN,22,98,4.45,67,68.4%,20.9%,13.4%,46.3%,19.4%,79.1%,0.0%,54.1%,83.0%,36.4%,0.0%,0,0,9.1%,2,1,4.5%,1,1,1,6,14.3%,0,0,0
84,Hank Blalock*\blaloha01,21,TEX,172,654,3.80,404,61.9%,22.8%,18.8%,31.7%,26.7%,77.2%,0.4%,47.8%,75.6%,33.1%,4.7%,8,0,18.0%,31,18,6.4%,11,8,11,32,25.6%,0,0,0
85,Henry Blanco\blanche01,30,ATL,250,929,3.72,593,65.0%,26.5%,15.5%,28.2%,29.8%,73.5%,5.1%,47.8%,78.9%,33.2%,4.0%,10,0,15.6%,39,22,5.2%,13,7,11,40,21.6%,0,0,0
86,Willie Bloomquist\bloomwi01,24,SEA,38,127,3.34,76,59.8%,26.3%,6.6%,26.3%,40.8%,73.7%,0.0%,44.1%,91.1%,34.2%,7.9%,3,0,10.5%,4,1,5.3%,2,1,1,1,50.0%,0,0,0
87,Geoff Blum#\blumge01,29,HOU,421,1659,3.94,1007,61.3%,24.6%,14.0%,31.5%,29.9%,75.4%,2.6%,46.2%,81.4%,25.7%,6.9%,29,1,16.2%,68,24,10.0%,42,23,17,53,24.3%,0,0,0
88,Hiram Bocachica\bocachi01,26,TOT,179,666,3.72,439,65.9%,27.1%,20.7%,23.0%,29.2%,72.9%,0.0%,48.0%,71.6%,22.9%,2.8%,5,0,12.3%,22,9,7.8%,14,7,5,36,12.2%,0,0,0
89,Hiram Bocachica\bocachi01,26,LAD,70,277,3.96,181,65.3%,27.6%,23.8%,23.2%,25.4%,72.4%,0.0%,47.3%,67.2%,18.6%,1.4%,1,0,15.7%,11,5,7.1%,5,3,2,17,10.5%,0,0,0
90,Hiram Bocachica\bocachi01,26,DET,109,389,3.57,258,66.3%,26.7%,18.6%,22.9%,31.8%,73.3%,0.0%,48.6%,74.6%,25.7%,3.7%,4,0,10.1%,11,4,8.3%,9,4,3,19,13.6%,0,0,0
91,Barry Bonds*\bondsba01,37,SFG,612,2399,3.92,1057,48.9%,28.4%,10.3%,27.4%,33.9%,71.6%,17.8%,35.0%,85.6%,25.5%,19.6%,120,6,33.5%,205,60,13.9%,85,37,23,24,48.9%,0,0,0
92,Jung Bong*\bongju01,21,ATL,2,12,6.00,8,66.7%,0.0%,50.0%,37.5%,12.5%,100.0%,0.0%,66.7%,50.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
93,Aaron Boone\booneaa01,29,CIN,686,2528,3.69,1600,63.6%,25.1%,15.8%,27.4%,31.8%,74.9%,1.5%,47.7%,79.0%,34.7%,4.4%,30,0,14.3%,98,33,9.0%,62,33,24,87,21.6%,0,0,0
94,Bret Boone\boonebr01,33,SEA,676,2503,3.70,1549,62.2%,28.7%,15.6%,22.5%,33.2%,71.3%,1.4%,44.3%,78.1%,27.1%,5.8%,39,0,16.7%,113,51,9.0%,61,39,24,78,23.5%,0,0,0
95,Pedro Borbon\borbope02,34,TOT,3,11,3.67,9,81.8%,55.6%,33.3%,11.1%,0.0%,44.4%,0.0%,36.4%,25.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,1,66.7%,0,0,0
96,Pedro Borbon\borbope02,34,HOU,3,11,3.67,9,81.8%,55.6%,33.3%,11.1%,0.0%,44.4%,0.0%,36.4%,25.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,1,66.7%,0,0,0
97,Joe Borchard#\borchjo01,23,CHW,37,144,3.89,96,66.7%,27.1%,22.9%,27.1%,22.9%,72.9%,0.0%,48.6%,68.6%,37.8%,8.1%,3,0,13.5%,5,2,8.1%,3,3,4,10,28.6%,0,0,0
98,Pat Borders\bordepa01,39,SEA,4,11,2.75,9,81.8%,11.1%,44.4%,11.1%,33.3%,88.9%,0.0%,72.7%,50.0%,75.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
99,Mike Bordick\bordimi01,36,BAL,414,1646,3.98,1014,61.6%,33.6%,8.9%,26.7%,30.8%,66.4%,0.0%,40.9%,86.6%,18.8%,7.2%,30,1,17.9%,74,21,11.1%,46,27,21,42,33.3%,0,0,0
100,Joe Borowski\borowjo01,31,CHC,7,29,4.14,24,82.8%,25.0%,33.3%,33.3%,8.3%,75.0%,0.0%,62.1%,55.6%,42.9%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,4,20.0%,0,0,0
101,Milton Bradley#\bradlmi01,24,CLE,358,1328,3.71,834,63.2%,24.6%,14.5%,28.8%,32.1%,75.4%,1.6%,47.7%,80.8%,36.0%,3.6%,13,1,13.1%,47,26,7.8%,28,13,19,39,32.8%,0,0,0
102,Darren Bragg*\braggda01,32,ATL,240,952,3.97,574,60.3%,30.7%,14.8%,26.3%,28.2%,69.3%,0.0%,41.8%,78.6%,28.3%,7.5%,18,0,18.8%,45,15,8.8%,21,9,18,34,34.6%,0,0,0
103,Russell Branyan*\branyru01,26,TOT,437,1827,4.18,1102,60.7%,21.7%,28.9%,28.5%,21.0%,78.3%,1.7%,47.5%,63.2%,33.9%,5.3%,23,3,13.7%,60,30,11.9%,52,29,32,119,21.2%,0,0,0
104,Russell Branyan*\branyru01,26,CLE,180,748,4.16,470,62.8%,22.3%,27.2%,29.6%,20.9%,77.7%,0.0%,48.8%,64.9%,31.1%,5.0%,9,3,13.9%,25,13,12.2%,22,12,14,51,21.5%,0,0,0
105,Russell Branyan*\branyru01,26,CIN,257,1079,4.20,632,59.2%,21.2%,30.1%,27.7%,21.0%,78.8%,2.7%,46.7%,61.8%,35.8%,5.4%,14,0,13.6%,35,17,11.7%,30,17,18,68,20.9%,0,0,0
106,Juan Brito\britoju01,22,KCR,23,95,4.13,64,67.4%,32.8%,10.9%,25.0%,31.3%,67.2%,0.0%,45.3%,83.7%,21.7%,8.7%,2,0,17.4%,4,0,21.7%,5,4,2,1,66.7%,0,0,0
107,Chris Brock\brockch01,32,BAL,2,7,3.50,5,71.4%,20.0%,40.0%,20.0%,20.0%,80.0%,0.0%,57.1%,50.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
108,Ben Broussard*\brousbe01,25,CLE,120,446,3.72,293,66.3%,23.9%,18.8%,27.6%,29.7%,76.1%,2.6%,50.5%,75.3%,31.7%,2.5%,3,1,11.7%,14,9,4.2%,5,4,9,16,36.0%,0,0,0
109,Jim Brower\broweji01,29,TOT,10,38,3.80,25,65.8%,24.0%,12.0%,36.0%,28.0%,76.0%,0.0%,50.0%,84.2%,40.0%,10.0%,1,0,10.0%,1,0,10.0%,1,0,0,3,0.0%,0,0,0
110,Jim Brower\broweji01,29,CIN,5,14,2.80,9,64.3%,11.1%,11.1%,33.3%,44.4%,88.9%,0.0%,57.1%,87.5%,40.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
