Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
12,Wilson Alvarez*\alvarwi01,35,LAD,3,6,2.00,6,100.0%,50.0%,0.0%,16.7%,33.3%,50.0%,,50.0%,100.0%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
13,Chip Ambres\ambrech01,25,KCR,167,686,4.11,419,61.4%,39.1%,8.1%,24.8%,27.9%,60.9%,1.5%,37.4%,86.7%,12.0%,4.8%,8,0,17.4%,29,12,9.0%,15,13,13,19,40.6%,0,0,0
14,Alfredo Amezaga#\amezaal01,27,TOT,7,23,3.29,13,56.5%,30.8%,7.7%,15.4%,46.2%,69.2%,0.0%,39.1%,88.9%,14.3%,14.3%,1,0,14.3%,1,0,14.3%,1,1,0,0,,0,0,0
15,Alfredo Amezaga#\amezaal01,27,COL,3,8,2.67,5,62.5%,20.0%,0.0%,20.0%,60.0%,80.0%,0.0%,50.0%,100.0%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
16,Alfredo Amezaga#\amezaal01,27,PIT,4,15,3.75,8,53.3%,37.5%,12.5%,12.5%,37.5%,62.5%,0.0%,33.3%,80.0%,0.0%,25.0%,1,0,25.0%,1,0,25.0%,1,1,0,0,,0,0,0
17,Brian Anderson\anderbr03,23,CHW,35,133,3.80,100,75.2%,19.0%,26.0%,32.0%,23.0%,81.0%,0.0%,60.9%,67.9%,45.7%,2.9%,1,0,5.7%,2,1,5.7%,2,2,5,7,41.7%,0,0,0
18,Garret Anderson*\anderga01,33,LAA,604,1980,3.28,1326,68.0%,22.5%,16.7%,23.5%,37.4%,77.5%,4.7%,52.7%,78.5%,33.4%,4.5%,27,5,12.7%,77,39,4.0%,24,18,10,74,11.9%,0,0,0
19,Marlon Anderson*\anderma02,31,NYM,261,1010,3.87,643,63.7%,31.3%,13.1%,25.2%,30.5%,68.7%,0.0%,43.8%,81.0%,20.7%,5.0%,13,0,18.4%,48,23,10.3%,27,16,12,33,26.7%,0,0,0
20,Robert Andino\andinro01,21,FLA,50,187,3.74,118,63.8%,25.4%,23.7%,19.5%,31.4%,74.6%,2.9%,47.6%,68.2%,20.0%,12.0%,6,0,18.0%,9,2,8.0%,4,3,3,5,37.5%,0,0,0
21,Danny Ardoin\ardoida01,30,COL,248,972,3.92,614,63.7%,27.5%,21.0%,27.0%,24.4%,72.5%,2.2%,46.2%,71.0%,30.2%,4.0%,10,0,13.3%,33,18,7.7%,19,14,20,49,29.0%,0,0,0
22,Tony Armas\armasto02,27,WSN,34,123,3.62,94,76.4%,28.7%,19.1%,30.9%,21.3%,71.3%,0.0%,54.5%,73.1%,29.4%,2.9%,1,0,2.9%,1,0,2.9%,1,0,2,9,15.4%,0,0,0
23,Bronson Arroyo\arroybr01,28,BOS,1,3,3.00,3,100.0%,66.7%,33.3%,0.0%,0.0%,33.3%,,33.3%,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
24,Ezequiel Astacio\astacez01,25,HOU,24,71,2.96,58,81.7%,22.4%,41.4%,17.2%,19.0%,77.6%,0.0%,63.4%,46.7%,41.7%,0.0%,0,0,4.2%,1,0,0.0%,0,0,1,11,8.3%,0,0,0
25,Pedro Astacio\astacpe01,36,TOT,23,58,2.52,47,81.0%,21.3%,17.0%,25.5%,36.2%,78.7%,0.0%,63.8%,78.4%,65.2%,4.3%,1,0,8.7%,2,0,4.3%,1,0,2,3,40.0%,0,0,0
26,Pedro Astacio\astacpe01,36,TEX,1,2,2.00,2,100.0%,50.0%,0.0%,0.0%,50.0%,50.0%,,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
27,Pedro Astacio\astacpe01,36,SDP,22,56,2.55,45,80.4%,20.0%,17.8%,26.7%,35.6%,80.0%,0.0%,64.3%,77.8%,68.2%,4.5%,1,0,9.1%,2,0,4.5%,1,0,2,3,40.0%,0,0,0
28,Garrett Atkins\atkinga01,25,COL,573,2069,3.61,1268,61.3%,34.6%,7.6%,22.2%,35.6%,65.4%,0.2%,40.1%,88.3%,19.5%,4.0%,23,1,15.7%,90,37,8.9%,51,26,30,42,41.7%,0,0,0
29,Rich Aurilia\aurilri01,33,CIN,469,1751,3.73,1082,62.1%,27.5%,13.4%,25.5%,33.5%,72.5%,1.2%,45.0%,81.5%,26.9%,4.5%,21,0,14.3%,67,25,9.4%,44,18,23,44,34.3%,0,0,0
30,Brad Ausmus\ausmubr01,36,HOU,454,1651,3.64,980,60.3%,26.1%,10.2%,28.3%,35.4%,73.9%,3.9%,44.6%,86.2%,33.7%,5.9%,27,5,17.0%,77,34,9.0%,41,18,22,26,45.8%,0,0,0
31,Luis Ayala\ayalalu01,27,WSN,4,8,2.00,5,62.5%,20.0%,0.0%,0.0%,80.0%,80.0%,0.0%,50.0%,100.0%,50.0%,0.0%,0,0,25.0%,1,1,0.0%,0,0,0,0,,0,0,0
32,Willy Aybar#\aybarwi01,22,LAD,105,411,3.91,232,56.4%,30.2%,6.5%,31.0%,32.3%,69.8%,0.0%,39.4%,90.7%,23.8%,12.4%,13,0,22.9%,24,5,14.3%,15,6,2,9,18.2%,0,0,0
33,Brandon Backe\backebr01,27,HOU,53,208,3.92,138,66.3%,24.6%,16.7%,31.2%,27.5%,75.4%,0.0%,50.0%,77.9%,39.6%,1.9%,1,0,9.4%,5,2,3.8%,2,2,2,10,16.7%,0,0,0
34,Carlos Baerga#\baergca01,36,WSN,174,626,3.60,409,65.3%,26.9%,8.8%,29.6%,34.7%,73.1%,0.0%,47.8%,88.0%,22.4%,4.6%,8,0,12.1%,21,8,5.7%,10,7,6,11,35.3%,0,0,0
35,Jeff Bagwell\bagweje01,37,HOU,123,484,3.93,272,56.7%,29.8%,11.8%,27.9%,30.5%,70.2%,1.9%,39.8%,83.2%,34.1%,10.6%,13,0,18.7%,23,4,15.4%,19,11,12,9,57.1%,0,0,0
36,Jeff Baker\bakerje03,24,COL,43,178,4.14,112,62.9%,31.3%,21.4%,24.1%,23.2%,68.8%,0.0%,43.3%,68.8%,18.6%,7.0%,3,0,18.6%,8,5,9.3%,4,2,6,6,50.0%,0,0,0
37,Paul Bako*\bakopa01,33,LAD,47,179,3.81,109,62.3%,26.6%,22.0%,25.7%,25.7%,73.4%,5.7%,45.7%,70.0%,42.6%,6.4%,3,0,10.6%,5,1,4.3%,2,2,4,8,33.3%,0,0,0
38,James Baldwin\baldwja01,33,TOT,1,3,3.00,2,66.7%,0.0%,0.0%,50.0%,50.0%,100.0%,0.0%,66.7%,100.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
39,James Baldwin\baldwja01,33,BAL,1,3,3.00,2,66.7%,0.0%,0.0%,50.0%,50.0%,100.0%,0.0%,66.7%,100.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
40,Rod Barajas\barajro01,29,TEX,450,1711,3.80,1163,68.0%,24.1%,12.6%,33.4%,29.9%,75.9%,0.0%,51.6%,83.4%,26.4%,3.8%,17,1,12.7%,57,24,6.4%,29,18,11,59,15.7%,0,0,0
41,Josh Bard#\bardjo01,27,CLE,95,331,3.48,201,60.7%,32.3%,9.5%,20.9%,37.3%,67.7%,0.0%,41.1%,86.0%,34.7%,4.2%,4,0,15.8%,15,7,6.3%,6,4,6,5,54.5%,0,0,0
42,Clint Barmes\barmecl01,26,COL,377,1345,3.57,909,67.8%,30.3%,7.7%,27.0%,35.1%,69.7%,0.9%,47.3%,89.0%,18.6%,5.3%,20,0,12.5%,47,11,7.2%,27,21,8,28,22.2%,0,0,0
43,Michael Barrett\barremi01,28,CHC,478,1703,3.56,1055,62.4%,26.6%,13.1%,25.3%,35.0%,73.4%,1.9%,45.8%,82.2%,33.1%,5.0%,24,0,11.9%,57,20,9.8%,47,22,13,48,21.3%,0,0,0
44,Jason Bartlett\bartlja01,25,MIN,252,994,3.94,638,64.2%,32.9%,8.5%,28.8%,29.8%,67.1%,0.0%,43.1%,87.4%,19.4%,4.8%,12,0,13.9%,35,12,8.3%,21,12,12,25,32.4%,0,0,0
45,Cliff Bartosh*\bartocl01,25,CHC,1,4,4.00,3,75.0%,0.0%,33.3%,33.3%,33.3%,100.0%,0.0%,75.0%,66.7%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
46,Jose Bautista\bautijo02,24,PIT,31,120,3.87,76,63.3%,28.9%,18.4%,25.0%,27.6%,71.1%,0.0%,45.0%,74.1%,41.9%,3.2%,1,0,9.7%,3,1,9.7%,3,1,3,4,42.9%,0,0,0
47,Jason Bay\bayja01,26,PIT,708,2733,3.86,1636,60.4%,29.0%,16.7%,25.9%,28.4%,71.0%,2.4%,42.9%,76.4%,25.7%,7.1%,50,4,18.6%,132,43,11.0%,78,40,37,105,26.1%,0,0,0
48,Yorman Bazardo\bazaryo01,20,FLA,1,5,5.00,3,60.0%,0.0%,66.7%,33.3%,0.0%,100.0%,0.0%,60.0%,33.3%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
49,Josh Beckett\beckejo02,25,FLA,71,261,3.68,163,62.5%,41.1%,11.7%,18.4%,28.8%,58.9%,0.0%,36.8%,80.2%,18.3%,4.2%,3,0,11.3%,8,4,5.6%,4,0,7,8,41.2%,0,0,0
50,Matt Belisle\belisma01,25,CIN,8,32,4.00,21,65.6%,42.9%,23.8%,9.5%,23.8%,57.1%,0.0%,37.5%,58.3%,12.5%,0.0%,0,0,12.5%,1,0,12.5%,1,0,1,2,33.3%,0,0,0
51,David Bell\bellda01,32,PHI,618,2200,3.56,1398,64.2%,23.9%,12.0%,28.6%,35.5%,76.1%,2.6%,48.8%,84.2%,30.6%,3.6%,22,0,11.8%,73,39,6.8%,42,27,12,57,17.4%,0,0,0
52,Heath Bell\bellhe01,27,NYM,3,11,3.67,11,100.0%,27.3%,18.2%,36.4%,18.2%,72.7%,,72.7%,75.0%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
53,Mark Bellhorn#\bellhma01,30,TOT,355,1494,4.21,856,57.4%,31.3%,21.6%,24.8%,22.3%,68.7%,0.6%,39.5%,68.5%,25.9%,6.5%,23,1,16.6%,59,26,12.4%,44,28,43,69,38.4%,0,0,0
54,Mark Bellhorn#\bellhma01,30,BOS,335,1418,4.23,810,57.3%,32.0%,21.6%,24.6%,21.9%,68.0%,0.7%,39.0%,68.2%,25.1%,6.9%,23,1,17.0%,57,24,12.5%,42,27,43,66,39.4%,0,0,0
55,Mark Bellhorn#\bellhma01,30,NYY,20,76,3.80,46,60.5%,19.6%,21.7%,28.3%,30.4%,80.4%,0.0%,48.7%,73.0%,40.0%,0.0%,0,0,10.0%,2,2,10.0%,2,1,0,3,0.0%,0,0,0
56,Ronnie Belliard\belliro01,30,CLE,588,2067,3.52,1365,66.0%,23.8%,12.2%,28.9%,35.1%,76.2%,0.0%,50.3%,84.0%,39.3%,3.4%,20,1,12.9%,76,21,7.0%,41,24,15,57,20.8%,0,0,0
57,Carlos Beltran#\beltrca01,28,NYM,651,2461,3.78,1505,61.6%,29.6%,11.8%,25.7%,33.0%,70.4%,1.9%,43.4%,83.3%,24.9%,6.5%,42,5,16.7%,109,40,8.9%,58,37,29,67,30.2%,0,0,0
58,Adrian Beltre\beltrad01,26,SEA,653,2580,3.95,1655,64.6%,23.4%,16.0%,30.5%,30.2%,76.6%,1.8%,49.5%,79.2%,29.6%,4.4%,29,6,15.6%,102,44,8.7%,57,41,21,87,19.4%,0,0,0
59,Gary Bennett\bennega01,33,WSN,230,895,3.89,549,61.8%,29.7%,10.6%,29.1%,30.6%,70.3%,2.0%,43.5%,85.0%,29.1%,6.1%,14,0,16.1%,37,11,11.3%,26,15,12,25,32.4%,0,0,0
60,Joaquin Benoit\benoijo01,27,TEX,1,3,3.00,2,66.7%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,33.3%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
61,Kris Benson\bensokr01,30,NYM,61,238,3.90,161,67.6%,34.2%,14.3%,31.1%,20.5%,65.8%,0.0%,44.5%,78.3%,39.3%,8.2%,5,0,14.8%,9,2,9.8%,6,1,13,9,59.1%,0,0,0
62,Jason Bergmann\bergmja01,23,WSN,4,14,3.50,9,64.3%,66.7%,0.0%,0.0%,33.3%,33.3%,0.0%,21.4%,100.0%,0.0%,0.0%,0,0,25.0%,1,0,0.0%,0,0,0,0,,0,0,0
63,William Bergolla\bergowi01,22,CIN,38,124,3.26,95,76.6%,24.2%,18.9%,27.4%,29.5%,75.8%,0.0%,58.1%,75.0%,36.8%,0.0%,0,0,5.3%,2,0,5.3%,2,1,2,8,20.0%,0,0,0
64,Lance Berkman#\berkmla01,29,HOU,565,2182,3.86,1208,56.3%,26.9%,13.2%,27.0%,32.9%,73.1%,3.8%,41.2%,82.0%,25.3%,8.8%,50,3,21.6%,122,43,13.1%,74,38,23,49,31.9%,0,0,0
65,Adam Bernero\bernead01,28,ATL,2,4,2.00,4,100.0%,0.0%,50.0%,0.0%,50.0%,100.0%,,100.0%,50.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
66,Angel Berroa\berroan01,27,KCR,653,2186,3.35,1588,73.0%,21.1%,16.1%,30.5%,32.2%,78.9%,2.0%,57.6%,79.6%,37.4%,2.9%,19,2,10.4%,68,29,4.4%,29,19,5,103,4.6%,0,0,0
67,Yuniesky Betancourt\betanyu01,23,SEA,230,728,3.17,492,67.6%,24.4%,12.0%,24.8%,38.8%,75.6%,0.0%,51.1%,84.1%,23.5%,2.6%,6,0,8.7%,20,11,3.5%,8,3,7,17,29.2%,0,0,0
68,Wilson Betemit#\betemwi01,23,ATL,275,1077,3.92,653,61.4%,26.5%,16.7%,26.6%,30.2%,73.5%,3.3%,45.2%,77.3%,24.0%,3.6%,10,0,14.9%,41,21,7.3%,20,16,21,34,38.2%,0,0,0
69,Larry Bigbie*\bigbila01,27,TOT,305,1149,3.77,706,61.7%,26.2%,18.3%,25.5%,30.0%,73.8%,0.9%,45.5%,75.2%,23.9%,3.9%,12,0,14.4%,44,21,7.5%,23,15,18,49,26.9%,0,0,0
70,Larry Bigbie*\bigbila01,27,BAL,235,888,3.78,539,61.0%,25.6%,17.8%,26.2%,30.4%,74.4%,1.1%,45.4%,76.1%,24.3%,4.7%,11,0,15.3%,36,17,8.1%,19,13,15,34,30.6%,0,0,0
71,Larry Bigbie*\bigbila01,27,COL,70,261,3.73,167,64.0%,28.1%,19.8%,23.4%,28.7%,71.9%,0.0%,46.0%,72.5%,22.9%,1.4%,1,0,11.4%,8,4,5.7%,4,2,3,15,16.7%,0,0,0
72,Craig Biggio\biggicr01,39,HOU,652,2258,3.46,1484,65.8%,24.6%,14.3%,27.0%,34.2%,75.4%,0.4%,49.6%,81.1%,30.8%,4.6%,30,0,12.3%,80,21,6.9%,45,25,14,76,15.6%,0,0,0
73,Casey Blake\blakeca01,31,CLE,584,2493,4.27,1551,62.4%,34.8%,12.0%,26.6%,26.7%,65.2%,0.6%,40.7%,81.6%,16.8%,3.9%,23,2,14.6%,85,34,10.8%,63,38,41,75,35.3%,0,0,0
74,Hank Blalock*\blaloha01,24,TEX,705,2639,3.74,1601,60.7%,21.2%,18.2%,28.2%,32.4%,78.8%,0.1%,47.8%,76.9%,33.3%,4.4%,31,10,16.3%,115,67,8.9%,63,37,25,107,18.9%,0,0,0
75,Andres Blanco#\blancan01,21,KCR,86,244,2.84,179,73.4%,26.3%,7.3%,21.8%,44.7%,73.7%,0.0%,54.1%,90.2%,36.0%,0.0%,0,0,8.1%,7,3,2.3%,2,2,1,4,20.0%,0,0,0
76,Henry Blanco\blanche01,33,CHC,178,676,3.80,434,64.6%,27.9%,11.5%,27.6%,32.9%,72.1%,1.7%,46.6%,84.0%,28.1%,5.1%,9,0,16.3%,29,11,7.9%,14,7,5,19,20.8%,0,0,0
77,Tony Blanco\blancto01,23,WSN,65,251,3.86,163,64.9%,23.9%,23.9%,25.8%,26.4%,76.1%,0.0%,49.4%,68.5%,29.2%,1.5%,1,0,12.3%,8,5,4.6%,3,2,8,11,42.1%,0,0,0
78,Joe Blanton\blantjo01,24,OAK,4,11,2.75,7,63.6%,28.6%,0.0%,14.3%,57.1%,71.4%,0.0%,45.5%,100.0%,25.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
79,Willie Bloomquist\bloomwi01,27,SEA,269,912,3.39,621,68.1%,24.8%,11.6%,28.7%,34.9%,75.2%,0.0%,51.2%,84.6%,35.3%,3.3%,9,1,9.7%,26,11,5.9%,16,9,11,27,28.9%,0,0,0
80,Geoff Blum#\blumge01,32,TOT,351,1339,3.81,815,60.9%,27.4%,11.2%,27.5%,34.0%,72.6%,0.0%,44.2%,84.6%,21.1%,4.0%,14,0,16.5%,58,30,11.1%,39,23,12,31,27.9%,0,0,0
81,Geoff Blum#\blumge01,32,SDP,252,979,3.88,584,59.7%,28.6%,10.4%,27.2%,33.7%,71.4%,0.0%,42.6%,85.4%,18.7%,4.4%,11,0,17.9%,45,24,14.3%,36,20,7,21,25.0%,0,0,0
82,Geoff Blum#\blumge01,32,CHW,99,360,3.64,231,64.2%,24.2%,13.0%,28.1%,34.6%,75.8%,0.0%,48.6%,82.9%,27.3%,3.0%,3,0,13.1%,13,6,3.0%,3,3,5,10,33.3%,0,0,0
83,Hiram Bocachica\bocachi01,29,OAK,19,73,3.84,54,74.0%,18.5%,29.6%,29.6%,22.2%,81.5%,0.0%,60.3%,63.6%,31.6%,5.3%,1,0,10.5%,2,1,10.5%,2,2,1,6,14.3%,0,0,0
84,Jeremy Bonderman\bondeje01,22,DET,6,17,2.83,15,88.2%,6.7%,40.0%,26.7%,26.7%,93.3%,0.0%,82.4%,57.1%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
85,Barry Bonds*\bondsba01,40,SFG,52,214,4.12,110,54.5%,30.0%,10.0%,26.4%,33.6%,70.0%,11.5%,38.1%,85.7%,21.2%,15.4%,8,0,28.8%,15,3,17.3%,9,9,4,2,66.7%,0,0,0
86,Aaron Boone\booneaa01,32,CLE,568,2053,3.61,1284,62.8%,25.2%,17.1%,24.4%,33.4%,74.8%,1.2%,47.0%,77.2%,34.7%,4.8%,27,1,12.5%,71,24,8.1%,46,29,19,73,20.7%,0,0,0
87,Bret Boone\boonebr01,36,TOT,360,1361,3.78,840,62.0%,31.7%,15.8%,21.2%,31.3%,68.3%,1.2%,42.4%,76.8%,24.7%,4.7%,17,1,15.8%,57,29,10.0%,36,26,19,46,29.2%,0,0,0
88,Bret Boone\boonebr01,36,SEA,302,1134,3.75,698,61.9%,30.9%,15.9%,21.2%,31.9%,69.1%,1.4%,42.7%,77.0%,25.5%,5.3%,16,1,15.9%,48,25,10.3%,31,22,14,38,26.9%,0,0,0
89,Bret Boone\boonebr01,36,MIN,58,227,3.91,142,62.6%,35.2%,15.5%,21.1%,28.2%,64.8%,0.0%,40.5%,76.1%,20.7%,1.7%,1,0,15.5%,9,4,8.6%,5,4,5,8,38.5%,0,0,0
90,Joe Borchard#\borchjo01,26,CHW,12,44,3.67,31,70.5%,9.7%,35.5%,29.0%,25.8%,90.3%,0.0%,63.6%,60.7%,58.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,3,25.0%,0,0,0
91,Pat Borders\bordepa01,42,SEA,125,389,3.11,274,71.0%,21.9%,17.9%,24.5%,35.8%,78.1%,2.6%,55.4%,77.1%,39.2%,4.0%,5,0,8.0%,10,3,4.0%,5,2,5,17,22.7%,0,0,0
92,Jason Botts#\bottsja01,24,TEX,30,144,4.80,95,66.0%,25.3%,29.5%,30.5%,14.7%,74.7%,0.0%,49.3%,60.6%,20.0%,3.3%,1,0,10.0%,3,2,10.0%,3,2,4,9,30.8%,0,0,0
93,Milton Bradley#\bradlmi01,27,LAD,319,1139,3.57,688,60.6%,22.1%,14.5%,28.2%,35.2%,77.9%,0.9%,47.2%,81.3%,41.1%,4.1%,13,3,18.2%,58,29,11.0%,35,12,16,31,34.0%,0,0,0
94,Russell Branyan*\branyru01,29,MIL,243,1005,4.14,565,58.2%,16.6%,34.2%,27.4%,21.8%,83.4%,8.0%,48.6%,59.0%,43.2%,9.9%,24,1,18.5%,45,15,6.6%,16,13,21,59,26.3%,0,0,0
95,Yhency Brazoban\brazoyh01,25,LAD,2,6,3.00,4,66.7%,0.0%,50.0%,25.0%,25.0%,100.0%,0.0%,66.7%,50.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
96,Craig Breslow*\breslcr01,24,SDP,1,5,5.00,2,40.0%,50.0%,0.0%,0.0%,50.0%,50.0%,0.0%,20.0%,100.0%,0.0%,100.0%,1,0,100.0%,1,0,100.0%,1,1,0,0,,0,0,0
97,Eude Brito*\britoeu01,26,PHI,7,26,3.71,20,76.9%,25.0%,20.0%,30.0%,25.0%,75.0%,0.0%,57.7%,73.3%,28.6%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
98,Ben Broussard*\brousbe01,28,CLE,506,1854,3.66,1185,64.4%,23.5%,16.3%,28.9%,31.3%,76.5%,2.2%,49.3%,78.7%,28.3%,5.5%,28,6,14.8%,75,37,7.1%,36,23,21,77,21.4%,0,0,0
99,Jim Brower\broweji01,32,TOT,2,9,4.50,6,66.7%,50.0%,16.7%,16.7%,16.7%,50.0%,0.0%,33.3%,66.7%,0.0%,0.0%,0,0,50.0%,1,0,0.0%,0,0,0,1,0.0%,0,0,0
100,Jim Brower\broweji01,32,SFG,2,9,4.50,6,66.7%,50.0%,16.7%,16.7%,16.7%,50.0%,0.0%,33.3%,66.7%,0.0%,0.0%,0,0,50.0%,1,0,0.0%,0,0,0,1,0.0%,0,0,0
101,Emil Brown\brownem01,30,KCR,609,2276,3.74,1441,63.4%,26.9%,16.4%,25.8%,30.9%,73.1%,0.5%,46.3%,77.6%,31.5%,4.4%,27,5,13.0%,79,38,8.7%,53,25,30,78,27.8%,0,0,0
102,Kevin Brown\brownke01,40,NYY,2,8,4.00,5,62.5%,40.0%,40.0%,0.0%,20.0%,60.0%,0.0%,37.5%,33.3%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
103,Brian Bruney\brunebr01,23,ARI,1,2,2.00,2,100.0%,50.0%,0.0%,0.0%,50.0%,50.0%,,50.0%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
104,Eric Bruntlett\brunter01,27,HOU,121,504,4.17,324,64.3%,28.1%,12.7%,33.0%,26.2%,71.9%,0.0%,46.2%,82.4%,24.8%,4.1%,5,1,12.4%,15,6,8.3%,10,6,3,22,12.0%,0,0,0
105,Jaime Bubela*\bubelja01,27,SEA,20,75,3.75,51,68.0%,25.5%,17.6%,27.5%,29.4%,74.5%,0.0%,50.7%,76.3%,35.0%,5.0%,1,0,10.0%,2,1,5.0%,1,1,1,3,25.0%,0,0,0
106,John Buck\buckjo01,24,KCR,432,1511,3.50,993,65.9%,22.2%,16.2%,30.4%,31.2%,77.8%,1.0%,51.3%,79.2%,38.7%,3.0%,13,1,11.6%,50,25,7.4%,32,19,27,67,28.7%,0,0,0
107,Mark Buehrle*\buehrma01,26,CHW,3,8,2.67,6,75.0%,50.0%,16.7%,0.0%,33.3%,50.0%,0.0%,37.5%,66.7%,33.3%,0.0%,0,0,33.3%,1,0,0.0%,0,0,1,0,100.0%,0,0,0
108,Nate Bump*\bumpna01,28,FLA,6,19,3.17,17,89.5%,35.3%,47.1%,5.9%,11.8%,64.7%,0.0%,57.9%,27.3%,66.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,3,25.0%,0,0,0
109,Chris Burke\burkech01,25,HOU,359,1323,3.69,848,64.1%,23.9%,14.6%,29.8%,31.6%,76.1%,0.0%,48.8%,80.8%,29.8%,2.5%,9,0,11.7%,42,24,7.0%,25,16,12,50,19.4%,0,0,0
110,Jamie Burke\burkeja02,33,CHW,1,1,1.00,1,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,,100.0%,100.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
