Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
38,Rick Ankiel*\ankieri01,20,STL,NL,35,73,68,8,17,1,1,2,9,0,0,4,20,.250,.292,.382,.674,68,26,1,0,1,0,0,1
39,Kevin Appier\appieke01,32,OAK,AL,31,6,6,0,1,0,0,0,0,0,0,0,3,.167,.167,.167,.333,-13,1,0,0,0,0,0,1
40,Danny Ardoin\ardoida01,25,MIN,AL,15,40,32,4,4,1,0,1,5,0,0,8,10,.125,.300,.250,.550,40,8,0,0,0,0,0,2
41,Alex Arias\ariasal01,32,PHI,NL,70,180,155,17,29,9,0,2,15,1,0,16,28,.187,.271,.284,.555,41,44,1,3,3,3,2,65/4
42,Tony Armas\armasto02,22,MON,NL,17,30,26,1,1,0,0,0,1,0,0,1,12,.038,.074,.038,.113,-71,1,0,0,3,0,0,1
43,Jamie Arnold\arnolja01,26,TOT,NL,14,10,9,0,1,1,0,0,0,0,0,0,3,.111,.200,.222,.422,8,2,0,1,0,0,0,1
44,Jamie Arnold\arnolja01,26,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
45,Jamie Arnold\arnolja01,26,CHC,NL,12,10,9,0,1,1,0,0,0,0,0,0,3,.111,.200,.222,.422,8,2,0,1,0,0,0,1
46,Rolando Arrojo\arrojro01,34,TOT,MLB,32,32,28,2,3,1,0,0,3,0,0,1,13,.107,.138,.143,.281,-35,4,0,0,3,0,0,1
47,Rolando Arrojo\arrojro01,34,COL,NL,19,32,28,2,3,1,0,0,3,0,0,1,13,.107,.138,.143,.281,-35,4,0,0,3,0,0,1
48,Rolando Arrojo\arrojro01,34,BOS,AL,13,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
49,Bronson Arroyo\arroybr01,23,PIT,NL,21,23,21,2,3,2,0,0,0,0,0,0,10,.143,.143,.238,.381,-6,5,0,0,2,0,0,1
50,Andy Ashby\ashbyan01,32,TOT,NL,32,72,61,2,9,0,0,0,6,0,0,2,22,.148,.175,.148,.322,-17,9,1,0,9,0,0,1
51,Andy Ashby\ashbyan01,32,PHI,NL,16,35,28,0,5,0,0,0,5,0,0,2,10,.179,.233,.179,.412,7,5,0,0,5,0,0,1
52,Andy Ashby\ashbyan01,32,ATL,NL,16,37,33,2,4,0,0,0,1,0,0,0,12,.121,.121,.121,.242,-38,4,1,0,4,0,0,1
53,Pedro Astacio\astacpe01,31,COL,NL,32,84,82,2,8,0,0,0,6,0,0,1,25,.098,.108,.098,.206,-52,8,1,0,1,0,0,1
54,Rich Aurilia\aurilri01,28,SFG,NL,141,571,509,67,138,24,2,20,79,1,2,54,90,.271,.339,.444,.783,102,226,15,0,4,4,2,*6
55,Brad Ausmus\ausmubr01,31,DET,AL,150,604,523,75,139,25,3,7,51,11,5,69,79,.266,.357,.365,.722,89,191,19,6,4,2,0,*2/345
56,Bruce Aven\avenbr01,28,TOT,NL,81,176,168,20,42,11,0,7,29,2,3,8,39,.250,.284,.440,.725,81,74,4,0,0,0,0,79/8
57,Bruce Aven\avenbr01,28,PIT,NL,72,153,148,18,37,11,0,5,25,2,3,5,31,.250,.275,.426,.700,74,63,4,0,0,0,0,97/8
58,Bruce Aven\avenbr01,28,LAD,NL,9,23,20,2,5,0,0,2,4,0,0,3,8,.250,.348,.550,.898,128,11,0,0,0,0,0,/7
59,Manny Aybar\aybarma01,28,TOT,NL,54,9,6,1,0,0,0,0,0,0,0,2,3,.000,.250,.000,.250,-29,0,0,0,1,0,0,1
60,Manny Aybar\aybarma01,28,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
61,Manny Aybar\aybarma01,28,CIN,NL,32,9,6,1,0,0,0,0,0,0,0,2,3,.000,.250,.000,.250,-29,0,0,0,1,0,0,1
62,Manny Aybar\aybarma01,28,FLA,NL,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
63,Jeff Bagwell\bagweje01,32,HOU,NL,159,719,590,152,183,37,1,47,132,9,6,107,116,.310,.424,.615,1.039,152,363,19,15,0,7,11,*3/D
64,Harold Baines*\baineha01,41,TOT,AL,96,320,283,26,72,13,0,11,39,0,0,36,50,.254,.338,.417,.754,93,118,6,0,0,1,7,D
65,Harold Baines*\baineha01,41,BAL,AL,72,252,222,24,59,8,0,10,30,0,0,29,39,.266,.349,.437,.786,103,97,6,0,0,1,6,D
66,Harold Baines*\baineha01,41,CHW,AL,24,68,61,2,13,5,0,1,9,0,0,7,11,.213,.294,.344,.638,60,21,0,0,0,0,1,D
67,Paul Bako*\bakopa01,28,TOT,NL,81,251,221,18,50,10,1,2,20,0,0,27,64,.226,.312,.308,.620,61,68,6,1,1,1,10,2/3
68,Paul Bako*\bakopa01,28,HOU,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2
69,Paul Bako*\bakopa01,28,FLA,NL,56,186,161,10,39,6,1,0,14,0,0,22,48,.242,.335,.292,.627,65,47,4,1,1,1,7,2
70,Paul Bako*\bakopa01,28,ATL,NL,24,63,58,8,11,4,0,2,6,0,0,5,15,.190,.254,.362,.616,53,21,2,0,0,0,3,2/3
71,James Baldwin\baldwja01,28,CHW,AL,29,5,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,1,0,0,1
72,John Bale*\balejo01,26,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
73,Rod Barajas\barajro01,24,ARI,NL,5,13,13,1,3,0,0,1,3,0,0,0,4,.231,.231,.462,.692,66,6,0,0,0,0,0,/2
74,Lorenzo Barcelo\barcelo01,22,CHW,AL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
75,Glen Barker#\barkegl01,29,HOU,NL,84,77,67,18,15,2,1,2,6,9,6,7,23,.224,.307,.373,.680,66,25,0,1,2,0,0,8/97
76,Kevin Barker*\barkeke01,24,MIL,NL,40,122,100,14,22,5,0,2,9,1,0,20,21,.220,.352,.330,.682,77,33,1,1,0,1,0,3
77,John Barnes\barnejo01,24,MIN,AL,11,41,37,5,13,4,0,0,2,0,1,2,6,.351,.415,.459,.874,119,17,3,2,0,0,0,/987
78,Michael Barrett\barremi01,23,MON,NL,89,297,271,28,58,15,1,1,22,0,1,23,35,.214,.277,.288,.565,42,78,7,1,1,1,5,52
79,Kimera Bartee#\barteki01,27,CIN,NL,11,5,4,2,0,0,0,0,0,1,0,0,2,.000,.200,.000,.200,-43,0,0,1,0,0,0,/78
80,Miguel Batista\batismi01,29,TOT,MLB,18,5,4,0,0,0,0,0,0,0,0,1,3,.000,.200,.000,.200,-44,0,0,0,0,0,0,1
81,Miguel Batista\batismi01,29,MON,NL,4,2,1,0,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,41,0,0,0,0,0,0,/1
82,Miguel Batista\batismi01,29,KCR,AL,14,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
83,Tony Batista\batisto01,26,TOR,AL,154,664,620,96,163,32,2,41,114,5,4,35,121,.263,.307,.519,.827,102,322,15,6,0,3,1,*5
84,Justin Baughman\baughju01,25,ANA,AL,16,23,22,4,5,2,0,0,0,3,0,1,2,.227,.261,.318,.579,45,7,0,0,0,0,0,/46D
85,Danny Bautista\bautida01,28,TOT,NL,131,388,351,54,100,20,7,11,59,6,2,25,50,.285,.333,.476,.809,100,167,11,3,4,5,4,*978
86,Danny Bautista\bautida01,28,FLA,NL,44,94,89,9,17,4,0,4,12,1,0,5,20,.191,.234,.371,.605,54,33,1,0,0,0,0,79/8
87,Danny Bautista\bautida01,28,ARI,NL,87,294,262,45,83,16,7,7,47,5,2,20,30,.317,.366,.511,.877,115,134,10,3,4,5,4,98/7
88,Rod Beck\beckro01,31,BOS,AL,34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
89,Rich Becker*\beckeri01,28,TOT,AL,115,357,285,59,69,14,0,8,39,2,2,67,87,.242,.384,.375,.759,99,107,1,1,0,4,0,987/D
90,Rich Becker*\beckeri01,28,OAK,AL,23,59,47,11,11,2,0,1,5,1,0,11,17,.234,.390,.340,.730,91,16,1,1,0,0,0,8/7D9
91,Rich Becker*\beckeri01,28,DET,AL,92,298,238,48,58,12,0,7,34,1,2,56,70,.244,.383,.382,.765,101,91,0,0,0,4,0,987/D
92,Kevin Beirne*\beirnke01,26,CHW,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
93,Tim Belcher\belchti01,38,ANA,AL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
94,Stan Belinda\belinst01,33,TOT,NL,57,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
95,Stan Belinda\belinst01,33,COL,NL,47,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
96,Stan Belinda\belinst01,33,ATL,NL,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
97,Todd Belitz*\belitto01,24,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
98,David Bell\bellda01,27,SEA,AL,133,512,454,57,112,24,2,11,47,2,3,42,66,.247,.316,.381,.697,81,173,11,6,6,4,0,54/3D6
99,Derek Bell\bellde01,31,NYM,NL,144,622,546,87,145,31,1,18,69,8,4,65,125,.266,.348,.425,.773,98,232,14,6,2,3,0,*9/81
100,Jay Bell\bellja01,34,ARI,NL,149,649,565,87,151,30,6,18,68,7,3,70,88,.267,.348,.437,.786,94,247,7,3,6,5,0,*4/D
101,Mike Bell\bellmi02,25,CIN,NL,19,31,27,5,6,0,0,2,4,0,0,4,7,.222,.323,.444,.767,90,12,0,0,0,0,0,5
102,Rob Bell\bellro01,23,CIN,NL,26,49,45,1,3,1,0,0,0,0,0,1,27,.067,.087,.089,.176,-56,4,1,0,3,0,0,1
103,Albert Belle\belleal01,33,BAL,AL,141,622,559,71,157,37,1,23,103,0,5,52,68,.281,.342,.474,.817,109,265,17,4,0,7,11,*9D
104,Mark Bellhorn#\bellhma01,25,OAK,AL,9,15,13,2,2,0,0,0,0,0,0,2,6,.154,.267,.154,.421,13,2,0,0,0,0,0,/456
105,Ronnie Belliard\belliro01,25,MIL,NL,152,667,571,83,150,30,9,8,54,7,5,82,84,.263,.354,.389,.743,91,222,12,3,4,7,4,*4
106,Clay Bellinger\bellicl01,31,NYY,AL,98,209,184,33,38,8,2,6,21,5,0,17,48,.207,.288,.370,.658,66,68,1,5,1,2,1,84573/69
107,Carlos Beltran#\beltrca01,23,KCR,AL,98,413,372,49,92,15,4,7,44,13,0,35,69,.247,.309,.366,.675,69,136,12,0,2,4,2,8/D97
108,Rigo Beltran*\beltrri01,30,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
109,Adrian Beltre\beltrad01,21,LAD,NL,138,575,510,71,148,30,2,20,85,12,5,56,80,.290,.360,.475,.835,114,242,13,2,3,4,2,*5/6
110,Marvin Benard*\benarma01,29,SFG,NL,149,633,560,102,147,27,6,12,55,22,7,63,97,.263,.342,.396,.739,92,222,4,6,2,2,0,*897
111,Alan Benes\benesal01,28,STL,NL,30,4,4,0,2,1,0,0,0,0,0,0,1,.500,.500,.750,1.250,209,3,0,0,0,0,0,1
112,Andy Benes\benesan01,32,STL,NL,30,60,50,1,4,0,0,1,1,0,0,4,19,.080,.148,.140,.288,-27,7,3,0,6,0,0,1
113,Armando Benitez\benitar01,27,NYM,NL,76,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
114,Mike Benjamin\benjami01,34,PIT,NL,93,255,233,28,63,18,2,2,19,5,4,12,45,.270,.313,.391,.704,78,91,4,3,6,1,0,564/3
115,Gary Bennett\bennega01,28,PHI,NL,31,89,74,8,18,5,0,2,5,0,0,13,15,.243,.371,.392,.763,93,29,0,2,0,0,0,2
116,Kris Benson\bensokr01,25,PIT,NL,32,79,65,3,6,2,0,0,1,0,0,4,29,.092,.157,.123,.280,-27,8,0,1,9,0,0,1
117,Jason Bere\bereja01,29,TOT,MLB,31,40,39,3,8,0,1,0,2,0,0,0,17,.205,.205,.256,.462,17,10,1,0,1,0,0,1
118,Jason Bere\bereja01,29,MIL,NL,20,40,39,3,8,0,1,0,2,0,0,0,17,.205,.205,.256,.462,17,10,1,0,1,0,0,1
119,Jason Bere\bereja01,29,CLE,AL,11,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
120,Dave Berg\bergda01,29,FLA,NL,82,245,210,23,53,14,1,1,21,3,0,25,46,.252,.340,.343,.683,78,72,5,5,1,4,0,654
121,Peter Bergeron*\bergepe01,22,MON,NL,148,592,518,80,127,25,7,5,31,11,13,58,100,.245,.320,.349,.669,67,181,4,0,14,2,0,*87
122,Sean Bergman\bergmse01,30,MIN,AL,15,2,2,0,1,1,0,0,0,0,0,0,1,.500,.500,1.000,1.500,262,2,0,0,0,0,0,1
123,Lance Berkman#\berkmla01,24,HOU,NL,114,417,353,76,105,28,1,21,67,6,2,56,73,.297,.388,.561,.949,130,198,6,1,0,7,1,97/3
124,Adam Bernero\bernead01,23,DET,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
125,Geronimo Berroa\berroge01,35,LAD,NL,24,35,31,2,8,0,1,0,5,0,0,4,8,.258,.343,.323,.665,74,10,2,0,0,0,1,/739
126,Sean Berry\berryse01,34,TOT,MLB,33,54,50,1,7,2,0,1,2,0,1,4,15,.140,.204,.240,.444,13,12,1,0,0,0,0,5
127,Sean Berry\berryse01,34,MIL,NL,32,50,46,1,7,2,0,1,2,0,1,4,13,.152,.220,.261,.481,23,12,1,0,0,0,0,/5
128,Sean Berry\berryse01,34,BOS,AL,1,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/5
129,Dante Bichette\bicheda01,36,TOT,MLB,155,636,575,80,169,32,2,23,90,5,2,49,91,.294,.350,.477,.826,105,274,21,4,1,7,3,*9D
130,Dante Bichette\bicheda01,36,CIN,NL,125,514,461,67,136,27,2,16,76,5,2,41,69,.295,.353,.466,.819,103,215,18,4,1,7,3,*9
131,Dante Bichette\bicheda01,36,BOS,AL,30,122,114,13,33,5,0,7,14,0,0,8,22,.289,.336,.518,.854,110,59,3,0,0,0,0,D
132,Rocky Biddle\biddlro01,24,CHW,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
133,Craig Biggio\biggicr01,34,HOU,NL,101,466,377,67,101,13,5,8,35,12,2,61,73,.268,.388,.393,.780,93,148,10,16,7,5,3,4
134,Willie Blair\blairwi01,34,DET,AL,47,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,75,1,0,0,0,0,0,1
135,Casey Blake\blakeca01,26,MIN,AL,7,21,16,1,3,2,0,0,1,0,0,3,7,.188,.333,.313,.646,63,5,1,1,0,1,0,/53D
136,Henry Blanco\blanche01,28,MIL,NL,93,324,284,29,67,24,0,7,31,0,3,36,60,.236,.318,.394,.712,81,112,9,0,0,4,6,2
137,Matt Blank*\blankma01,24,MON,NL,13,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
138,Geoff Blum#\blumge01,27,MON,NL,124,379,343,40,97,20,2,11,45,1,4,26,60,.283,.335,.449,.784,94,154,4,3,3,4,2,5643
139,Hiram Bocachica\bocachi01,24,LAD,NL,8,10,10,2,3,0,0,0,0,0,0,0,2,.300,.300,.300,.600,57,3,0,0,0,0,0,/4
140,Doug Bochtler\bochtdo01,29,KCR,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
141,Brian Boehringer#\boehrbr01,31,SDP,NL,7,5,4,0,1,1,0,0,2,0,0,0,0,.250,.250,.500,.750,90,2,1,0,1,0,0,/1
142,Tim Bogar\bogarti01,33,HOU,NL,110,351,304,32,63,9,2,7,33,1,1,35,56,.207,.292,.319,.611,50,97,15,3,5,4,7,6/415
143,Brian Bohanon*\bohanbr01,31,COL,NL,35,67,53,6,11,3,0,2,11,0,0,2,14,.208,.232,.377,.610,37,20,0,0,11,1,0,1
144,Barry Bonds*\bondsba01,35,SFG,NL,143,607,480,129,147,28,4,49,106,11,3,117,77,.306,.440,.688,1.127,188,330,6,3,0,7,22,*7
145,Ricky Bones\bonesri01,31,FLA,NL,56,4,2,1,0,0,0,0,1,0,0,1,0,.000,.250,.000,.250,-27,0,0,0,0,1,0,1
146,Bobby Bonilla#\bonilbo01,37,ATL,NL,114,278,239,23,61,13,3,5,28,0,0,37,51,.255,.356,.397,.754,91,95,3,1,0,1,2,7/5D9
147,Aaron Boone\booneaa01,27,CIN,NL,84,332,291,44,83,18,0,12,43,6,1,24,52,.285,.356,.471,.826,105,137,5,10,2,4,1,5/6
148,Bret Boone\boonebr01,31,SDP,NL,127,525,463,61,116,18,2,19,74,8,4,50,97,.251,.326,.421,.747,94,195,11,5,0,7,7,*4
149,Pedro Borbon\borbope02,32,TOR,AL,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
150,Mike Bordick\bordimi01,34,TOT,MLB,156,644,583,88,166,30,1,20,80,9,6,49,99,.285,.341,.443,.783,101,258,16,3,4,5,0,*6
151,Mike Bordick\bordimi01,34,BAL,AL,100,433,391,70,116,22,1,16,59,6,5,34,71,.297,.350,.481,.831,113,188,12,1,2,5,0,6
152,Mike Bordick\bordimi01,34,NYM,NL,56,211,192,18,50,8,0,4,21,3,1,15,28,.260,.321,.365,.685,76,70,4,2,2,0,0,6
153,Dave Borkowski\borkoda01,23,DET,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
154,Ricky Bottalico*\bottari01,30,KCR,AL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
155,Kent Bottenfield\botteke01,31,TOT,MLB,29,20,17,3,2,0,0,0,0,0,0,0,4,.118,.118,.118,.235,-40,2,0,0,3,0,0,1
156,Kent Bottenfield\botteke01,31,ANA,AL,21,3,3,1,2,0,0,0,0,0,0,0,1,.667,.667,.667,1.333,238,2,0,0,0,0,0,1
157,Kent Bottenfield\botteke01,31,PHI,NL,8,17,14,2,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,3,0,0,/1
158,Jason Boyd\boydja02,27,PHI,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
159,Chad Bradford\bradfch01,25,CHW,AL,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
160,Milton Bradley#\bradlmi01,22,MON,NL,42,172,154,20,34,8,1,2,15,2,1,14,32,.221,.288,.325,.613,53,50,3,1,1,1,0,8
161,Darren Bragg*\braggda01,30,COL,NL,71,169,149,16,33,7,1,3,21,4,1,17,41,.221,.296,.342,.638,47,51,3,0,0,3,1,7/9
162,Jeff Branson*\bransje01,33,LAD,NL,18,18,17,3,4,1,0,0,0,0,0,1,6,.235,.278,.294,.572,49,5,1,0,0,0,0,/645
163,Jeff Brantley\brantje01,36,PHI,NL,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
164,Russell Branyan*\branyru01,24,CLE,AL,67,220,193,32,46,7,2,16,38,0,0,22,76,.238,.327,.544,.871,115,105,2,4,0,1,1,D79/5
165,Leslie Brea\breale01,26,BAL,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
166,Jamie Brewington\brewija01,28,CLE,AL,26,2,1,1,0,0,0,0,0,0,0,1,0,.000,.500,.000,.500,43,0,0,0,0,0,0,1
167,Doug Brocail*\brocado01,33,DET,AL,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
168,Chris Brock\brockch01,30,PHI,NL,63,11,9,1,2,1,0,1,2,0,0,0,2,.222,.222,.667,.889,113,6,0,0,2,0,0,1
169,Tarrik Brock*\brockta01,26,CHC,NL,13,16,12,1,2,0,0,0,0,1,1,4,4,.167,.375,.167,.542,46,2,0,0,0,0,0,/78
170,Rico Brogna*\brognri01,30,TOT,MLB,81,199,185,20,43,17,0,2,21,1,0,10,41,.232,.278,.357,.635,59,66,5,2,1,1,1,3/D
171,Rico Brogna*\brognri01,30,PHI,NL,38,139,129,12,32,14,0,1,13,1,0,7,28,.248,.295,.380,.675,69,49,4,2,0,1,1,3
172,Rico Brogna*\brognri01,30,BOS,AL,43,60,56,8,11,3,0,1,8,0,0,3,13,.196,.237,.304,.541,35,17,1,0,1,0,0,3/D
173,Scott Brosius\brosisc01,33,NYY,AL,135,519,470,57,108,20,0,16,64,0,3,45,73,.230,.299,.374,.673,70,176,17,2,0,2,1,*5/3D79
174,Jim Brower\broweji01,27,CLE,AL,17,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
175,Adrian Brown#\brownad01,26,PIT,NL,104,340,308,64,97,18,3,4,28,13,1,29,34,.315,.373,.432,.805,104,133,1,0,2,1,1,89/7
