
Rk,Name,Age,Tm,PA,Pit,Pit/PA,Str,Str%,L/Str,S/Str,F/Str,I/Str,AS/Str,I/Bll,AS/Pit,Con,1stS,30%,30c,30s,20%,20c,20s,31%,31c,31s,L/SO,S/SO,L/SO%,PAu,Pitu,Stru
27,Kevin Appier\appieke01,33,NYM,67,238,3.55,173,72.7%,21.4%,31.2%,23.7%,23.7%,78.6%,0.0%,57.1%,60.3%,47.8%,0.0%,0,0,1.5%,1,0,3.0%,2,1,2,22,8.3%,0,0,0
28,Alex Arias\ariasal01,33,SDP,158,628,3.97,393,63.0%,34.9%,7.6%,27.5%,30.0%,65.1%,1.7%,41.0%,88.3%,15.8%,4.4%,7,0,17.1%,27,4,8.9%,14,9,5,17,22.7%,0,0,0
29,Tony Armas\armasto02,23,MON,59,189,3.20,142,75.1%,28.9%,19.0%,22.5%,29.6%,71.1%,0.0%,53.4%,73.3%,42.4%,1.7%,1,0,6.8%,4,2,3.4%,2,1,8,9,47.1%,0,0,0
30,Rolando Arrojo\arrojro01,35,BOS,4,16,4.00,12,75.0%,8.3%,58.3%,25.0%,8.3%,91.7%,0.0%,68.8%,36.4%,50.0%,0.0%,0,0,25.0%,1,1,0.0%,0,0,0,3,0.0%,0,0,0
31,Bronson Arroyo\arroybr01,24,PIT,23,80,3.48,58,72.5%,32.8%,27.6%,29.3%,10.3%,67.2%,0.0%,48.8%,59.0%,60.9%,4.3%,1,0,8.7%,2,0,0.0%,0,0,9,6,56.3%,0,0,0
32,Andy Ashby\ashbyan01,33,LAD,5,14,2.80,8,57.1%,12.5%,0.0%,37.5%,50.0%,87.5%,0.0%,50.0%,100.0%,60.0%,0.0%,0,0,0.0%,0,0,20.0%,1,0,0,0,,0,0,0
33,Pedro Astacio\astacpe01,32,TOT,64,158,2.47,135,85.4%,5.9%,34.8%,24.4%,34.8%,94.1%,0.0%,80.4%,63.0%,81.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,15,5.9%,0,0,0
34,Pedro Astacio\astacpe01,32,COL,52,125,2.40,107,85.6%,6.5%,33.6%,22.4%,37.4%,93.5%,0.0%,80.0%,64.0%,82.7%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,11,8.3%,0,0,0
35,Pedro Astacio\astacpe01,32,HOU,12,33,2.75,28,84.8%,3.6%,39.3%,32.1%,25.0%,96.4%,0.0%,81.8%,59.3%,75.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,4,0.0%,0,0,0
36,Justin Atchley*\atchlju01,27,CIN,1,5,5.00,3,60.0%,33.3%,66.7%,0.0%,0.0%,66.7%,0.0%,40.0%,0.0%,0.0%,0.0%,0,0,100.0%,1,0,0.0%,0,0,0,1,0.0%,0,0,0
37,Rich Aurilia\aurilri01,29,SFG,690,2425,3.51,1522,63.0%,25.0%,11.4%,26.8%,36.7%,75.0%,0.9%,47.2%,84.8%,31.6%,3.6%,25,1,13.6%,94,36,8.6%,59,37,27,56,32.5%,0,0,0
38,Brad Ausmus\ausmubr01,32,HOU,463,1644,3.55,1054,64.9%,28.7%,10.0%,26.6%,34.7%,71.3%,3.6%,46.3%,86.0%,33.3%,5.0%,23,0,13.4%,62,21,8.0%,37,26,29,35,45.3%,0,0,0
39,Bruce Aven\avenbr01,29,LAD,26,95,3.65,64,67.4%,25.0%,21.9%,23.4%,29.7%,75.0%,0.0%,50.5%,70.8%,34.6%,0.0%,0,0,11.5%,3,2,3.8%,1,1,2,3,40.0%,0,0,0
40,Manny Aybar\aybarma01,29,CHC,4,9,2.25,7,77.8%,42.9%,0.0%,0.0%,57.1%,57.1%,0.0%,44.4%,100.0%,25.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
41,Benito Baez*\baezbe01,24,FLA,1,2,2.00,2,100.0%,0.0%,50.0%,0.0%,50.0%,100.0%,,100.0%,50.0%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
42,Jeff Bagwell\bagweje01,33,HOU,720,2913,4.05,1653,57.0%,27.5%,16.6%,27.5%,28.4%,72.5%,1.0%,41.3%,77.1%,27.9%,7.2%,52,7,20.8%,150,55,13.2%,95,49,43,92,31.9%,0,0,0
43,Harold Baines*\baineha01,42,CHW,94,370,3.94,214,57.8%,29.4%,11.7%,26.2%,32.7%,70.6%,0.0%,40.8%,83.4%,31.9%,5.3%,5,0,16.0%,15,6,16.0%,15,9,8,8,50.0%,0,0,0
44,Paul Bako*\bakopa01,29,ATL,157,582,3.71,350,61.0%,25.4%,18.3%,26.9%,29.4%,74.6%,3.4%,45.5%,75.5%,33.8%,9.6%,15,2,22.9%,36,15,10.8%,17,11,9,25,26.5%,0,0,0
45,James Baldwin\baldwja01,29,TOT,29,83,2.86,72,86.7%,23.6%,25.0%,29.2%,22.2%,76.4%,0.0%,66.3%,67.3%,51.7%,0.0%,0,0,3.4%,1,0,0.0%,0,0,3,10,23.1%,0,0,0
46,James Baldwin\baldwja01,29,CHW,2,5,2.50,5,100.0%,20.0%,40.0%,20.0%,20.0%,80.0%,,80.0%,50.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
47,James Baldwin\baldwja01,29,LAD,27,78,2.89,67,85.9%,23.9%,23.9%,29.9%,22.4%,76.1%,0.0%,65.4%,68.6%,51.9%,0.0%,0,0,3.7%,1,0,0.0%,0,0,3,9,25.0%,0,0,0
48,Rod Barajas\barajro01,25,ARI,113,417,3.69,284,68.1%,24.3%,19.0%,28.2%,28.5%,75.7%,0.0%,51.6%,74.9%,24.8%,3.5%,4,0,14.2%,16,9,3.5%,4,3,2,24,7.7%,0,0,0
49,Glen Barker#\barkegl01,30,HOU,31,116,3.74,76,65.5%,15.8%,28.9%,30.3%,25.0%,84.2%,0.0%,55.2%,65.6%,58.1%,0.0%,0,0,3.2%,1,0,3.2%,1,0,1,5,16.7%,0,0,0
50,Andy Barkett*\barkean01,26,PIT,51,161,3.16,106,67.5%,28.3%,15.1%,19.8%,36.8%,71.7%,7.3%,48.4%,78.9%,33.3%,9.8%,5,0,15.7%,8,0,7.8%,4,4,1,6,14.3%,0,0,0
51,John Barnes\barnejo01,25,MIN,23,79,3.43,54,68.4%,25.9%,11.1%,29.6%,33.3%,74.1%,0.0%,50.6%,85.0%,47.8%,4.3%,1,0,8.7%,2,0,4.3%,1,1,0,3,0.0%,0,0,0
52,Larry Barnes*\barnela01,26,ANA,41,134,3.27,101,75.4%,13.9%,17.8%,37.6%,30.7%,86.1%,0.0%,64.9%,79.3%,46.3%,0.0%,0,0,4.9%,2,2,2.4%,1,1,2,7,22.2%,0,0,0
53,Michael Barrett\barremi01,24,MON,507,1686,3.33,1123,66.9%,29.1%,9.6%,23.4%,37.8%,70.9%,1.4%,47.4%,86.4%,36.1%,4.1%,21,1,14.8%,75,27,6.3%,32,17,16,38,29.6%,0,0,0
54,Kimera Bartee#\barteki01,28,COL,20,66,3.30,43,69.4%,16.3%,27.9%,30.2%,25.6%,83.7%,17.4%,58.1%,66.7%,50.0%,10.0%,2,0,15.0%,3,1,10.0%,2,0,2,3,40.0%,0,0,0
55,Miguel Batista\batismi01,30,ARI,36,133,3.69,96,72.2%,34.4%,21.9%,26.0%,17.7%,65.6%,0.0%,47.4%,66.7%,41.7%,2.8%,1,0,8.3%,3,0,5.6%,2,1,6,10,35.3%,0,0,0
56,Tony Batista\batisto01,27,TOT,624,2443,3.92,1539,63.1%,20.9%,17.6%,30.7%,30.7%,79.1%,0.4%,49.9%,77.7%,26.0%,3.5%,22,10,15.1%,94,61,8.0%,50,40,17,96,15.0%,0,0,0
57,Tony Batista\batisto01,27,TOR,291,1135,3.90,717,63.4%,18.7%,20.2%,32.1%,29.0%,81.3%,1.0%,51.5%,75.1%,28.5%,3.1%,9,3,15.8%,46,32,6.2%,18,16,9,57,13.6%,0,0,0
58,Tony Batista\batisto01,27,BAL,333,1308,3.93,822,62.8%,22.9%,15.3%,29.6%,32.2%,77.1%,0.0%,48.5%,80.1%,23.7%,3.9%,13,7,14.4%,48,29,9.6%,32,24,8,39,17.0%,0,0,0
59,Danny Bautista\bautida01,29,ARI,239,794,3.32,518,65.4%,26.8%,12.9%,23.0%,37.3%,73.2%,0.7%,47.9%,82.3%,30.5%,3.3%,8,1,13.0%,31,16,4.6%,11,7,10,21,32.3%,0,0,0
60,Rod Beck\beckro01,32,BOS,1,3,3.00,3,100.0%,66.7%,33.3%,0.0%,0.0%,33.3%,,33.3%,0.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
61,Josh Beckett\beckejo02,21,FLA,9,26,2.89,20,76.9%,35.0%,10.0%,15.0%,40.0%,65.0%,0.0%,50.0%,84.6%,33.3%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
62,Joe Beimel*\beimejo01,24,PIT,31,112,3.61,79,70.5%,36.7%,17.7%,20.3%,25.3%,63.3%,0.0%,44.6%,72.0%,22.6%,3.2%,1,0,6.5%,2,0,3.2%,1,0,3,7,30.0%,0,0,0
63,Todd Belitz*\belitto01,25,COL,1,7,7.00,4,57.1%,25.0%,25.0%,50.0%,0.0%,75.0%,0.0%,42.9%,66.7%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
64,David Bell\bellda01,28,SEA,511,1846,3.61,1188,64.5%,24.3%,10.7%,29.6%,35.4%,75.7%,0.6%,48.8%,85.9%,32.9%,3.7%,19,2,12.7%,65,35,8.8%,45,28,20,39,33.9%,0,0,0
65,Derek Bell\bellde01,32,PIT,185,699,3.78,403,59.4%,29.0%,16.1%,25.1%,29.8%,71.0%,6.8%,42.1%,77.3%,37.8%,4.9%,9,0,14.6%,27,9,9.2%,17,6,16,22,42.1%,0,0,0
66,Jay Bell\bellja01,35,ARI,511,2178,4.26,1298,59.8%,35.1%,9.6%,27.5%,27.8%,64.9%,0.9%,38.8%,85.3%,20.2%,7.8%,40,4,17.2%,88,23,11.7%,60,29,33,46,41.8%,0,0,0
67,Rob Bell\bellro01,24,TOT,10,40,4.00,25,62.5%,24.0%,20.0%,36.0%,20.0%,76.0%,0.0%,47.5%,73.7%,60.0%,10.0%,1,0,20.0%,2,1,10.0%,1,0,2,1,50.0%,0,0,0
68,Rob Bell\bellro01,24,CIN,10,40,4.00,25,62.5%,24.0%,20.0%,36.0%,20.0%,76.0%,0.0%,47.5%,73.7%,60.0%,10.0%,1,0,20.0%,2,1,10.0%,1,0,2,1,50.0%,0,0,0
69,Mark Bellhorn#\bellhma01,26,OAK,82,344,4.20,210,61.0%,32.9%,24.8%,24.3%,18.1%,67.1%,0.0%,41.0%,63.1%,30.5%,2.4%,2,0,13.4%,11,6,7.3%,6,3,18,19,48.6%,0,0,0
70,Ronnie Belliard\belliro01,26,MIL,410,1489,3.63,962,64.9%,30.0%,13.4%,24.8%,31.7%,70.0%,1.1%,45.4%,80.8%,25.9%,4.4%,18,1,12.4%,51,8,8.0%,33,15,16,49,24.6%,0,0,0
71,Clay Bellinger\bellicl01,32,NYY,88,354,4.02,239,67.5%,33.5%,14.6%,26.8%,25.1%,66.5%,0.0%,44.9%,78.0%,22.7%,2.3%,2,0,8.0%,7,3,4.5%,4,3,9,14,39.1%,0,0,0
72,Carlos Beltran#\beltrca01,24,KCR,682,2484,3.64,1543,62.3%,24.4%,14.4%,28.6%,32.6%,75.6%,0.9%,47.1%,81.0%,30.2%,4.8%,33,5,16.4%,112,51,8.5%,58,31,40,80,33.3%,0,0,0
73,Adrian Beltre\beltrad01,22,LAD,516,1976,3.83,1319,66.8%,30.2%,13.5%,26.0%,30.3%,69.8%,0.2%,46.6%,80.7%,15.9%,7.8%,40,1,15.9%,82,25,8.9%,46,28,14,68,17.1%,0,0,0
74,Marvin Benard*\benarma01,30,SFG,429,1526,3.56,982,64.7%,23.6%,13.8%,28.9%,33.6%,76.4%,1.5%,49.4%,81.9%,27.5%,4.4%,19,0,14.2%,61,27,8.4%,36,26,8,58,12.1%,0,0,0
75,Alan Benes\benesal01,29,STL,2,3,1.50,3,100.0%,0.0%,33.3%,0.0%,66.7%,100.0%,,100.0%,66.7%,100.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
76,Andy Benes\benesan01,33,STL,35,133,3.80,94,70.7%,28.7%,28.7%,22.3%,20.2%,71.3%,0.0%,50.4%,59.7%,40.0%,0.0%,0,0,2.9%,1,0,0.0%,0,0,5,8,33.3%,0,0,0
77,Armando Benitez\benitar01,28,NYM,1,6,6.00,4,66.7%,50.0%,0.0%,25.0%,25.0%,50.0%,0.0%,33.3%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
78,Gary Bennett\bennega01,29,TOT,148,542,3.66,333,62.9%,28.8%,9.0%,28.8%,33.3%,71.2%,6.2%,44.8%,87.3%,25.0%,6.1%,9,0,15.5%,23,11,3.4%,5,2,9,15,37.5%,0,0,0
79,Gary Bennett\bennega01,29,PHI,86,339,3.94,211,63.0%,30.8%,9.5%,32.2%,27.5%,69.2%,3.1%,43.6%,86.3%,26.7%,7.0%,6,0,14.0%,12,6,3.5%,3,1,8,11,42.1%,0,0,0
80,Gary Bennett\bennega01,29,NYM,1,7,7.00,5,71.4%,40.0%,0.0%,40.0%,20.0%,60.0%,0.0%,42.9%,100.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,,0,0,0
81,Gary Bennett\bennega01,29,COL,61,196,3.21,117,62.6%,24.8%,8.5%,22.2%,44.4%,75.2%,11.4%,47.1%,88.6%,23.0%,4.9%,3,0,18.0%,11,5,3.3%,2,1,1,4,20.0%,0,0,0
82,Jason Bere\bereja01,30,CHC,69,237,3.43,176,74.3%,27.3%,17.6%,26.1%,29.0%,72.7%,0.0%,54.0%,75.8%,42.0%,1.4%,1,0,5.8%,4,0,2.9%,2,2,5,13,27.8%,0,0,0
83,Dave Berg\bergda01,30,FLA,235,943,4.01,602,63.8%,27.6%,10.8%,31.7%,29.9%,72.4%,0.0%,46.2%,85.1%,23.8%,2.1%,5,1,13.2%,31,17,4.7%,11,8,11,28,28.2%,0,0,0
84,Brandon Berger\bergebr01,26,KCR,18,83,4.61,51,61.4%,29.4%,9.8%,33.3%,27.5%,70.6%,0.0%,43.4%,86.1%,16.7%,0.0%,0,0,16.7%,3,2,22.2%,4,1,1,1,50.0%,0,0,0
85,Peter Bergeron*\bergepe01,23,MON,416,1547,3.72,1002,65.1%,25.6%,13.9%,30.9%,29.5%,74.4%,1.5%,48.4%,81.3%,34.6%,3.6%,15,0,10.8%,45,17,8.2%,34,22,24,63,27.6%,0,0,0
86,Lance Berkman#\berkmla01,25,HOU,691,2672,3.87,1533,57.6%,24.2%,16.8%,28.9%,30.1%,75.8%,1.1%,43.7%,77.9%,40.8%,7.1%,49,7,18.4%,127,40,14.0%,97,53,42,79,34.7%,0,0,0
87,Angel Berroa\berroan01,23,KCR,56,221,3.95,147,66.5%,18.4%,17.0%,35.4%,29.3%,81.6%,0.0%,54.3%,79.2%,25.0%,3.6%,2,0,17.9%,10,6,7.1%,4,2,0,10,0.0%,0,0,0
88,Wilson Betemit#\betemwi01,19,ATL,5,28,5.60,13,46.4%,53.8%,23.1%,23.1%,0.0%,46.2%,0.0%,21.4%,50.0%,0.0%,40.0%,2,0,40.0%,2,0,40.0%,2,1,0,3,0.0%,0,0,0
89,Dante Bichette\bicheda01,37,BOS,416,1419,3.41,1001,70.7%,19.0%,18.7%,30.8%,31.6%,81.0%,1.0%,57.3%,76.9%,45.2%,3.6%,15,1,9.4%,39,13,5.0%,21,14,15,61,19.7%,0,0,0
90,Rocky Biddle\biddlro01,25,CHW,2,5,2.50,4,80.0%,25.0%,50.0%,0.0%,25.0%,75.0%,0.0%,60.0%,33.3%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1,0.0%,0,0,0
91,Nick Bierbrodt*\bierbni01,23,TOT,10,33,3.30,16,48.5%,31.3%,0.0%,18.8%,50.0%,68.8%,0.0%,33.3%,100.0%,40.0%,20.0%,2,0,40.0%,4,1,10.0%,1,0,0,0,,0,0,0
92,Nick Bierbrodt*\bierbni01,23,ARI,10,33,3.30,16,48.5%,31.3%,0.0%,18.8%,50.0%,68.8%,0.0%,33.3%,100.0%,40.0%,20.0%,2,0,40.0%,4,1,10.0%,1,0,0,0,,0,0,0
93,Larry Bigbie*\bigbila01,23,BAL,149,567,3.81,361,64.1%,28.8%,19.1%,27.1%,24.9%,71.2%,1.9%,45.6%,73.2%,30.9%,2.7%,4,0,14.8%,22,7,8.1%,12,6,18,24,42.9%,0,0,0
94,Craig Biggio\biggicr01,35,HOU,718,2534,3.53,1567,62.1%,28.4%,14.9%,23.4%,33.4%,71.6%,1.2%,44.5%,79.2%,29.5%,6.0%,43,0,16.6%,119,28,6.4%,46,16,28,72,28.0%,0,0,0
95,Willie Blair\blairwi01,35,DET,2,5,2.50,5,100.0%,40.0%,0.0%,40.0%,20.0%,60.0%,,60.0%,100.0%,50.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
96,Casey Blake\blakeca01,27,TOT,41,175,4.27,114,66.3%,27.2%,17.5%,33.3%,21.9%,72.8%,4.9%,48.3%,75.9%,26.8%,4.9%,2,0,9.8%,4,0,4.9%,2,1,2,10,16.7%,0,0,0
97,Casey Blake\blakeca01,27,MIN,25,113,4.52,73,66.4%,28.8%,17.8%,34.2%,19.2%,71.2%,7.5%,47.3%,75.0%,20.0%,4.0%,1,0,8.0%,2,0,4.0%,1,0,2,6,25.0%,0,0,0
98,Casey Blake\blakeca01,27,BAL,16,62,3.88,41,66.1%,24.4%,17.1%,31.7%,26.8%,75.6%,0.0%,50.0%,77.4%,37.5%,6.3%,1,0,12.5%,2,0,6.3%,1,1,0,4,0.0%,0,0,0
99,Henry Blanco\blanche01,29,MIL,357,1344,3.76,822,61.9%,27.9%,16.8%,25.1%,30.3%,72.1%,3.1%,44.7%,76.7%,35.6%,7.0%,25,4,16.2%,58,25,9.8%,35,20,23,49,31.9%,0,0,0
100,Matt Blank*\blankma01,25,MON,8,19,2.38,14,73.7%,28.6%,21.4%,7.1%,42.9%,71.4%,0.0%,52.6%,70.0%,25.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
101,Geoff Blum#\blumge01,28,MON,515,2060,4.00,1298,63.9%,32.5%,13.3%,25.9%,28.3%,67.5%,3.9%,43.2%,80.3%,20.4%,6.4%,33,0,17.9%,92,27,10.1%,52,34,23,71,24.5%,0,0,0
102,Hiram Bocachica\bocachi01,25,LAD,143,541,3.78,356,65.8%,27.8%,19.1%,25.0%,28.1%,72.2%,0.0%,47.5%,73.5%,28.7%,4.2%,6,0,15.4%,22,7,8.4%,12,4,8,25,24.2%,0,0,0
103,Brian Boehringer#\boehrbr01,32,TOT,3,15,5.00,9,60.0%,33.3%,33.3%,22.2%,11.1%,66.7%,0.0%,40.0%,50.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
104,Brian Boehringer#\boehrbr01,32,SFG,3,15,5.00,9,60.0%,33.3%,33.3%,22.2%,11.1%,66.7%,0.0%,40.0%,50.0%,0.0%,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,2,0.0%,0,0,0
105,Tim Bogar\bogarti01,34,LAD,17,61,3.59,41,67.2%,24.4%,4.9%,36.6%,34.1%,75.6%,0.0%,50.8%,93.5%,47.1%,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0,100.0%,0,0,0
106,Brian Bohanon*\bohanbr01,32,COL,33,102,3.09,69,67.6%,17.4%,20.3%,26.1%,36.2%,82.6%,0.0%,55.9%,75.4%,57.6%,6.1%,2,0,12.1%,4,2,9.1%,3,2,0,7,0.0%,0,0,0
107,Barry Bonds*\bondsba01,36,SFG,666,2671,4.01,1258,49.4%,30.3%,11.8%,27.3%,30.6%,69.7%,8.6%,34.4%,83.1%,25.2%,16.1%,107,6,28.5%,190,60,16.7%,111,58,45,48,48.4%,0,0,0
108,Ricky Bones\bonesri01,32,FLA,3,10,3.33,6,60.0%,33.3%,16.7%,16.7%,33.3%,66.7%,0.0%,40.0%,75.0%,0.0%,0.0%,0,0,66.7%,2,1,0.0%,0,0,0,1,0.0%,0,0,0
109,Bobby Bonilla#\bonilbo01,38,STL,199,791,3.97,478,61.4%,20.3%,22.2%,32.2%,25.3%,79.7%,3.8%,48.9%,72.2%,39.2%,6.5%,13,3,16.1%,32,11,9.0%,18,12,16,37,30.2%,0,0,0
110,Aaron Boone\booneaa01,28,CIN,427,1542,3.61,952,61.9%,23.6%,19.6%,23.2%,33.5%,76.4%,0.7%,47.3%,74.3%,32.6%,6.8%,29,1,16.2%,69,25,9.8%,42,28,14,57,19.7%,0,0,0
